input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave
H1220TS393_6__H1220TS298_3	0.401	0.517	0.517	0.523	0.507	0.135
H1220TS419_1__H1220TS051_5	0.556	0.455	0.455	0.522	0.521	0.158
H1220TS419_2__H1220TS419_3	0.604	0.521	0.521	0.601	0.704	0.282
H1220TS450_1__H1220TS298_1	0.499	0.544	0.544	0.563	0.481	0.17
H1220TS462_3__H1220TS014_6	0.498	0.494	0.494	0.536	0.589	0.142
H1220TS465_5__H1220TS040_3	0.0	0.0	0.0	0.0	0.165	0.004
H1220TS475_1__H1220TS204_1	0.409	0.408	0.408	0.455	0.537	0.105
H1220TS489_5__H1220TS419_2	0.474	0.423	0.423	0.489	0.453	0.137
H1220TS494_3__H1220TS040_3	0.017	0.014	0.015	0.007	0.149	0.006
H1220TS494_3__H1220TS369_5	0.192	0.269	0.284	0.201	0.326	0.058
H1222TS015_4__H1222TS145_1	0.859	0.916	0.916	0.854	0.889	0.585
H1222TS022_1__H1222TS462_2	0.651	0.571	0.571	0.553	0.655	0.278
H1222TS022_2__H1222TS319_2	0.68	0.639	0.639	0.618	0.716	0.313
H1222TS022_3__H1222TS345_6	0.791	0.753	0.753	0.763	0.888	0.485
H1222TS023_2__H1222TS015_3	0.813	0.84	0.84	0.798	0.863	0.449
H1222TS052_1__H1222TS397_5	0.729	0.699	0.699	0.644	0.803	0.35
H1222TS079_1__H1222TS301_5	0.744	0.632	0.632	0.699	0.761	0.352
H1222TS085_2__H1222TS312_3	0.73	0.745	0.745	0.719	0.804	0.344
H1222TS085_3__H1222TS298_3	0.732	0.635	0.635	0.673	0.84	0.372
H1222TS091_4__H1222TS014_3	0.703	0.608	0.608	0.663	0.776	0.304
H1222TS091_4__H1222TS345_1	0.65	0.521	0.521	0.518	0.722	0.268
H1222TS110_3__H1222TS110_2	0.935	0.962	0.962	0.932	0.967	0.833
H1222TS110_5__H1222TS425_1	0.815	0.814	0.814	0.777	0.88	0.476
H1222TS117_3__H1222TS312_5	0.519	0.58	0.58	0.501	0.661	0.253
H1222TS117_3__H1222TS425_5	0.518	0.565	0.565	0.501	0.665	0.259
H1222TS122_4__H1222TS085_4	0.668	0.603	0.603	0.595	0.781	0.323
H1222TS145_3__H1222TS023_1	0.605	0.655	0.655	0.614	0.721	0.275
H1222TS148_1__H1222TS079_1	0.694	0.579	0.579	0.558	0.762	0.33
H1222TS148_2__H1222TS425_1	0.68	0.626	0.626	0.594	0.713	0.331
H1222TS148_3__H1222TS022_5	0.881	0.892	0.892	0.87	0.925	0.726
H1222TS167_2__H1222TS475_5	0.567	0.59	0.59	0.533	0.654	0.246
H1222TS171_3__H1222TS028_2	0.718	0.666	0.666	0.645	0.804	0.24
H1222TS196_4__H1222TS221_2	0.728	0.752	0.752	0.71	0.854	0.346
H1222TS198_3__H1222TS051_3	0.838	0.867	0.867	0.825	0.872	0.584
H1222TS204_1__H1222TS117_2	0.546	0.595	0.595	0.519	0.683	0.304
H1222TS219_2__H1222TS272_5	0.709	0.683	0.683	0.607	0.736	0.332
H1222TS219_3__H1222TS369_5	0.731	0.722	0.722	0.69	0.849	0.368
H1222TS221_1__H1222TS319_2	0.646	0.609	0.609	0.624	0.69	0.257
H1222TS221_2__H1222TS051_3	0.651	0.623	0.623	0.618	0.74	0.264
H1222TS221_5__H1222TS014_1	0.703	0.621	0.621	0.634	0.788	0.363
H1222TS241_4__H1222TS171_2	0.686	0.617	0.617	0.596	0.725	0.326
H1222TS262_1__H1222TS221_2	0.738	0.834	0.834	0.724	0.857	0.581
H1222TS262_5__H1222TS221_2	0.656	0.568	0.568	0.57	0.698	0.254
H1222TS264_2__H1222TS145_5	0.732	0.699	0.699	0.668	0.774	0.418
H1222TS264_3__H1222TS456_3	0.972	0.985	0.985	0.954	0.962	0.951
H1222TS264_4__H1222TS196_2	0.785	0.742	0.742	0.741	0.88	0.434
H1222TS267_4__H1222TS284_4	0.72	0.629	0.629	0.605	0.708	0.334
H1222TS272_3__H1222TS208_1	0.711	0.43	0.43	0.542	0.708	0.322
H1222TS284_3__H1222TS456_1	0.879	0.89	0.89	0.871	0.912	0.688
H1222TS286_1__H1222TS204_5	0.762	0.668	0.668	0.663	0.761	0.273
H1222TS293_3__H1222TS322_3	0.865	0.788	0.788	0.803	0.833	0.435
H1222TS298_1__H1222TS331_2	0.818	0.631	0.631	0.721	0.78	0.237
H1222TS298_5__H1222TS079_5	0.865	0.688	0.688	0.695	0.835	0.402
H1222TS298_5__H1222TS465_1	0.768	0.688	0.688	0.669	0.789	0.248
H1222TS301_3__H1222TS345_3	0.75	0.586	0.586	0.67	0.761	0.233
H1222TS311_1__H1222TS015_5	0.759	0.587	0.587	0.674	0.786	0.315
H1222TS312_1__H1222TS085_2	0.671	0.591	0.591	0.588	0.779	0.316
H1222TS312_3__H1222TS031_2	0.789	0.949	0.949	0.841	0.877	0.761
H1222TS312_3__H1222TS456_4	0.668	0.597	0.597	0.633	0.806	0.292
H1222TS312_4__H1222TS262_1	0.764	0.847	0.847	0.738	0.855	0.674
H1222TS322_2__H1222TS117_2	0.647	0.748	0.748	0.648	0.738	0.378
H1222TS331_4__H1222TS293_4	0.768	0.594	0.594	0.67	0.764	0.306
H1222TS345_4__H1222TS456_5	0.664	0.56	0.56	0.58	0.776	0.204
H1222TS345_5__H1222TS014_3	0.76	0.603	0.603	0.677	0.776	0.319
H1222TS345_5__H1222TS419_4	0.75	0.603	0.603	0.618	0.7	0.319
H1222TS375_2__H1222TS167_3	0.515	0.63	0.63	0.566	0.713	0.249
H1222TS375_2__H1222TS419_4	0.821	0.846	0.846	0.754	0.897	0.728
H1222TS397_5__H1222TS286_1	0.619	0.607	0.607	0.615	0.732	0.209
H1222TS419_2__H1222TS117_5	0.546	0.58	0.58	0.487	0.705	0.294
H1222TS423_1__H1222TS204_1	0.776	0.606	0.606	0.584	0.722	0.326
H1222TS423_1__H1222TS450_3	0.599	0.646	0.646	0.617	0.72	0.202
H1222TS425_3__H1222TS059_4	0.871	0.916	0.916	0.836	0.841	0.546
H1222TS456_2__H1222TS393_4	0.73	0.59	0.59	0.574	0.684	0.297
H1222TS462_4__H1222TS331_4	0.755	0.698	0.698	0.721	0.884	0.342
H1222TS475_1__H1222TS015_2	0.814	0.845	0.845	0.782	0.871	0.662
H1223TS015_1__H1223TS423_5	0.618	0.633	0.633	0.649	0.762	0.206
H1223TS015_5__H1223TS264_5	0.678	0.682	0.682	0.686	0.795	0.342
H1223TS022_1__H1223TS145_2	0.811	0.868	0.868	0.842	0.878	0.346
H1223TS022_5__H1223TS319_4	0.89	0.713	0.713	0.696	0.787	0.435
H1223TS023_2__H1223TS375_5	0.666	0.666	0.666	0.663	0.842	0.181
H1223TS028_1__H1223TS284_3	0.802	0.807	0.807	0.776	0.826	0.425
H1223TS031_5__H1223TS145_2	0.91	0.877	0.877	0.826	0.842	0.581
H1223TS040_1__H1223TS031_4	0.656	0.603	0.62	0.622	0.701	0.27
H1223TS040_2__H1223TS117_4	0.606	0.576	0.606	0.565	0.642	0.195
H1223TS040_3__H1223TS369_5	0.718	0.759	0.771	0.704	0.81	0.37
H1223TS051_2__H1223TS284_2	0.757	0.717	0.717	0.702	0.843	0.392
H1223TS051_2__H1223TS419_5	0.7	0.637	0.637	0.663	0.818	0.34
H1223TS051_3__H1223TS196_1	0.722	0.712	0.712	0.684	0.808	0.261
H1223TS051_4__H1223TS147_2	0.833	0.854	0.854	0.84	0.869	0.509
H1223TS051_5__H1223TS145_3	0.807	0.736	0.736	0.724	0.812	0.258
H1223TS051_6__H1223TS462_5	0.767	0.696	0.696	0.707	0.826	0.364
H1223TS052_3__H1223TS294_5	0.886	0.903	0.903	0.845	0.928	0.618
H1223TS059_1__H1223TS475_1	0.645	0.609	0.609	0.632	0.718	0.166
H1223TS079_2__H1223TS331_2	0.824	0.496	0.496	0.624	0.687	0.167
H1223TS091_1__H1223TS319_1	0.823	0.871	0.871	0.815	0.88	0.601
H1223TS110_1__H1223TS031_1	0.704	0.725	0.725	0.684	0.822	0.379
H1223TS117_3__H1223TS388_2	0.527	0.602	0.602	0.517	0.682	0.256
H1223TS122_5__H1223TS284_4	0.804	0.786	0.786	0.828	0.887	0.323
H1223TS139_5__H1223TS264_6	0.725	0.795	0.795	0.731	0.797	0.348
H1223TS145_4__H1223TS079_4	0.743	0.675	0.675	0.743	0.815	0.412
H1223TS145_4__H1223TS462_5	0.771	0.665	0.665	0.703	0.853	0.339
H1223TS147_4__H1223TS139_6	0.695	0.688	0.688	0.67	0.793	0.309
H1223TS147_4__H1223TS319_3	0.767	0.703	0.703	0.677	0.814	0.301
H1223TS148_1__H1223TS110_4	0.852	0.756	0.756	0.733	0.758	0.409
H1223TS148_1__H1223TS272_5	0.761	0.588	0.588	0.615	0.717	0.216
H1223TS163_2__H1223TS148_2	0.837	0.804	0.804	0.798	0.818	0.482
H1223TS164_3__H1223TS171_2	0.813	0.752	0.752	0.772	0.889	0.374
H1223TS164_4__H1223TS262_4	0.735	0.634	0.634	0.712	0.753	0.271
H1223TS164_5__H1223TS397_1	0.744	0.667	0.667	0.658	0.9	0.357
H1223TS167_1__H1223TS425_1	0.668	0.718	0.718	0.675	0.764	0.283
H1223TS171_3__H1223TS091_5	0.774	0.752	0.752	0.713	0.804	0.426
H1223TS171_5__H1223TS369_5	0.798	0.831	0.831	0.779	0.912	0.326
H1223TS196_4__H1223TS423_2	0.742	0.666	0.666	0.689	0.847	0.335
H1223TS196_5__H1223TS023_1	0.813	0.838	0.838	0.847	0.908	0.389
H1223TS196_5__H1223TS075_5	0.715	0.635	0.635	0.747	0.738	0.167
H1223TS196_5__H1223TS375_1	0.84	0.872	0.872	0.856	0.882	0.438
H1223TS198_5__H1223TS079_1	0.77	0.67	0.67	0.697	0.794	0.375
H1223TS204_2__H1223TS468_2	0.731	0.656	0.656	0.703	0.758	0.312
H1223TS219_3__H1223TS145_1	0.852	0.701	0.701	0.747	0.872	0.362
H1223TS221_3__H1223TS015_3	0.748	0.683	0.683	0.687	0.805	0.323
H1223TS221_5__H1223TS022_4	0.7	0.513	0.513	0.608	0.636	0.158
H1223TS262_5__H1223TS267_2	0.676	0.682	0.682	0.667	0.766	0.206
H1223TS262_5__H1223TS322_4	0.654	0.667	0.667	0.612	0.817	0.308
H1223TS264_1__H1223TS388_2	0.78	0.711	0.711	0.698	0.739	0.331
H1223TS267_2__H1223TS122_2	0.827	0.774	0.774	0.796	0.828	0.372
H1223TS267_3__H1223TS187_1	0.442	0.584	0.584	0.4	0.588	0.225
H1223TS267_4__H1223TS167_1	0.694	0.817	0.817	0.762	0.801	0.209
H1223TS272_1__H1223TS272_3	0.755	0.699	0.699	0.749	0.818	0.373
H1223TS293_2__H1223TS085_5	0.878	0.77	0.77	0.76	0.841	0.44
H1223TS294_4__H1223TS241_4	0.722	0.693	0.693	0.715	0.786	0.197
H1223TS323_1__H1223TS023_3	0.849	0.918	0.918	0.871	0.891	0.452
H1223TS375_3__H1223TS014_4	0.742	0.666	0.666	0.709	0.841	0.205
H1223TS375_4__H1223TS388_2	0.761	0.744	0.744	0.68	0.755	0.204
H1223TS388_2__H1223TS304_1	0.671	0.603	0.603	0.622	0.68	0.179
H1223TS393_1__H1223TS221_4	0.783	0.678	0.678	0.749	0.875	0.223
H1223TS393_6__H1223TS023_3	0.8	0.763	0.763	0.778	0.844	0.408
H1223TS419_3__H1223TS196_3	0.761	0.728	0.728	0.739	0.833	0.34
H1223TS423_2__H1223TS450_5	0.898	0.721	0.721	0.725	0.832	0.342
H1223TS425_3__H1223TS380_1	0.731	0.639	0.639	0.673	0.744	0.397
H1223TS425_5__H1223TS015_5	0.724	0.651	0.651	0.665	0.79	0.246
H1223TS456_3__H1223TS204_1	0.583	0.514	0.514	0.632	0.685	0.307
H1223TS462_3__H1223TS301_4	0.755	0.674	0.674	0.726	0.849	0.343
H1223TS462_5__H1223TS051_5	0.748	0.761	0.761	0.74	0.779	0.291
H1223TS465_2__H1223TS204_4	0.594	0.504	0.504	0.594	0.705	0.162
H1223TS465_5__H1223TS393_1	0.605	0.569	0.569	0.65	0.655	0.297
H1225TS014_5__H1225TS419_2	0.708	0.682	0.682	0.64	0.777	0.304
H1225TS015_2__H1225TS204_4	0.739	0.698	0.698	0.652	0.87	0.392
H1225TS015_3__H1225TS290_1	0.774	0.838	0.838	0.761	0.879	0.444
H1225TS015_4__H1225TS450_1	0.602	0.67	0.67	0.623	0.704	0.204
H1225TS023_4__H1225TS267_2	0.751	0.611	0.611	0.665	0.685	0.249
H1225TS051_1__H1225TS085_5	0.727	0.583	0.583	0.642	0.742	0.344
H1225TS051_5__H1225TS298_5	0.692	0.615	0.615	0.652	0.761	0.317
H1225TS051_5__H1225TS375_5	0.81	0.833	0.833	0.736	0.808	0.443
H1225TS052_1__H1225TS023_3	0.654	0.593	0.593	0.644	0.734	0.232
H1225TS052_2__H1225TS145_3	0.741	0.615	0.615	0.665	0.766	0.259
H1225TS059_2__H1225TS079_4	0.711	0.729	0.729	0.622	0.787	0.398
H1225TS059_5__H1225TS221_5	0.758	0.759	0.759	0.681	0.788	0.492
H1225TS079_4__H1225TS241_4	0.76	0.711	0.711	0.68	0.79	0.275
H1225TS085_1__H1225TS311_3	0.736	0.779	0.779	0.726	0.841	0.41
H1225TS110_1__H1225TS117_1	0.653	0.611	0.611	0.585	0.785	0.25
H1225TS110_5__H1225TS122_5	0.679	0.544	0.544	0.619	0.766	0.332
H1225TS117_2__H1225TS369_2	0.634	0.783	0.783	0.674	0.745	0.49
H1225TS117_3__H1225TS264_5	0.564	0.779	0.779	0.658	0.709	0.475
H1225TS122_2__H1225TS059_6	0.721	0.574	0.574	0.614	0.722	0.244
H1225TS139_3__H1225TS274_1	0.664	0.734	0.734	0.672	0.768	0.333
H1225TS139_6__H1225TS091_2	0.746	0.883	0.883	0.782	0.83	0.633
H1225TS145_5__H1225TS301_1	0.678	0.598	0.598	0.663	0.756	0.328
H1225TS147_1__H1225TS198_1	0.83	0.851	0.851	0.796	0.873	0.62
H1225TS147_3__H1225TS208_4	0.652	0.546	0.546	0.606	0.758	0.232
H1225TS147_3__H1225TS294_4	0.672	0.558	0.558	0.613	0.787	0.218
H1225TS148_4__H1225TS304_1	0.678	0.573	0.573	0.624	0.692	0.24
H1225TS164_3__H1225TS312_5	0.655	0.617	0.617	0.645	0.753	0.315
H1225TS167_1__H1225TS014_2	0.55	0.686	0.686	0.603	0.74	0.224
H1225TS167_3__H1225TS163_1	0.59	0.575	0.575	0.543	0.659	0.24
H1225TS171_2__H1225TS117_5	0.561	0.569	0.569	0.499	0.688	0.244
H1225TS196_3__H1225TS425_4	0.76	0.73	0.73	0.676	0.858	0.339
H1225TS196_4__H1225TS264_3	0.671	0.596	0.596	0.668	0.729	0.275
H1225TS198_1__H1225TS163_5	0.715	0.64	0.64	0.649	0.829	0.343
H1225TS198_4__H1225TS274_2	0.698	0.663	0.663	0.663	0.848	0.235
H1225TS198_4__H1225TS287_1	0.762	0.753	0.753	0.723	0.824	0.358
H1225TS204_1__H1225TS293_2	0.76	0.749	0.749	0.672	0.806	0.311
H1225TS208_3__H1225TS079_4	0.753	0.757	0.757	0.706	0.825	0.413
H1225TS208_3__H1225TS145_2	0.797	0.836	0.836	0.773	0.862	0.589
H1225TS208_4__H1225TS456_5	0.691	0.554	0.554	0.612	0.787	0.244
H1225TS219_5__H1225TS051_5	0.679	0.758	0.758	0.656	0.817	0.258
H1225TS219_5__H1225TS059_6	0.668	0.63	0.63	0.61	0.756	0.218
H1225TS219_5__H1225TS450_1	0.546	0.647	0.647	0.597	0.645	0.168
H1225TS221_2__H1225TS465_1	0.694	0.627	0.627	0.658	0.802	0.293
H1225TS221_3__H1225TS122_5	0.682	0.622	0.622	0.672	0.78	0.292
H1225TS241_4__H1225TS051_3	0.839	0.814	0.814	0.759	0.838	0.408
H1225TS262_5__H1225TS040_2	0.57	0.524	0.532	0.549	0.686	0.294
H1225TS264_1__H1225TS304_3	0.8	0.742	0.742	0.74	0.854	0.366
H1225TS264_2__H1225TS028_1	0.898	0.857	0.857	0.796	0.78	0.616
H1225TS264_5__H1225TS139_3	0.598	0.613	0.613	0.649	0.658	0.245
H1225TS264_5__H1225TS311_5	0.816	0.809	0.809	0.771	0.797	0.389
H1225TS264_6__H1225TS462_5	0.84	0.823	0.823	0.768	0.822	0.423
H1225TS272_2__H1225TS345_2	0.701	0.495	0.495	0.542	0.734	0.254
H1225TS272_2__H1225TS419_3	0.694	0.451	0.451	0.525	0.67	0.253
H1225TS274_1__H1225TS221_2	0.661	0.601	0.601	0.607	0.727	0.295
H1225TS274_1__H1225TS462_1	0.673	0.542	0.542	0.59	0.686	0.221
H1225TS284_3__H1225TS015_6	0.787	0.792	0.792	0.704	0.802	0.417
H1225TS284_3__H1225TS122_5	0.778	0.658	0.658	0.738	0.814	0.404
H1225TS284_3__H1225TS450_3	0.633	0.771	0.771	0.694	0.725	0.287
H1225TS286_1__H1225TS337_1	0.747	0.837	0.837	0.754	0.725	0.207
H1225TS287_2__H1225TS397_3	0.733	0.6	0.6	0.668	0.758	0.333
H1225TS290_3__H1225TS267_2	0.706	0.612	0.612	0.63	0.685	0.235
H1225TS294_1__H1225TS304_5	0.733	0.764	0.764	0.728	0.87	0.318
H1225TS298_2__H1225TS293_4	0.906	0.951	0.951	0.896	0.942	0.671
H1225TS301_2__H1225TS284_4	0.809	0.774	0.774	0.739	0.785	0.323
H1225TS304_1__H1225TS475_4	0.947	0.98	0.98	0.961	0.943	0.757
H1225TS311_4__H1225TS475_2	0.741	0.641	0.641	0.679	0.771	0.314
H1225TS312_4__H1225TS345_2	0.704	0.562	0.562	0.632	0.729	0.253
H1225TS331_2__H1225TS163_5	0.863	0.721	0.721	0.655	0.854	0.295
H1225TS345_2__H1225TS040_1	0.744	0.584	0.592	0.583	0.702	0.268
H1225TS369_2__H1225TS419_2	0.664	0.565	0.565	0.59	0.731	0.332
H1225TS380_1__H1225TS023_4	0.766	0.824	0.824	0.758	0.825	0.42
H1225TS388_2__H1225TS345_3	0.801	0.868	0.868	0.769	0.849	0.443
H1225TS393_4__H1225TS284_4	0.824	0.798	0.798	0.743	0.783	0.421
H1225TS397_5__H1225TS262_1	0.692	0.657	0.657	0.623	0.789	0.339
H1225TS419_1__H1225TS322_3	0.688	0.61	0.61	0.65	0.74	0.325
H1225TS419_5__H1225TS301_4	0.916	0.962	0.962	0.907	0.908	0.799
H1225TS425_2__H1225TS468_3	0.729	0.797	0.797	0.731	0.858	0.527
H1225TS425_3__H1225TS164_1	0.682	0.566	0.566	0.622	0.756	0.3
H1225TS425_3__H1225TS293_2	0.704	0.577	0.577	0.613	0.784	0.349
H1225TS456_1__H1225TS284_5	0.727	0.6	0.6	0.64	0.694	0.245
H1225TS456_2__H1225TS369_4	0.785	0.569	0.569	0.667	0.733	0.313
H1225TS456_3__H1225TS187_1	0.396	0.469	0.469	0.365	0.574	0.185
H1225TS468_4__H1225TS139_6	0.654	0.571	0.571	0.582	0.731	0.25
H1225TS475_1__H1225TS052_1	0.708	0.559	0.559	0.62	0.726	0.235
H1225TS475_5__H1225TS468_5	0.776	0.77	0.77	0.704	0.789	0.424
H1225TS494_3__H1225TS380_5	0.776	0.679	0.679	0.681	0.774	0.379
H1225TS494_5__H1225TS014_6	0.704	0.661	0.661	0.625	0.738	0.221
H1227TS014_5__H1227TS388_2	0.545	0.605	0.605	0.565	0.6	0.292
H1227TS022_2__H1227TS145_3	0.049	0.028	0.028	0.019	0.763	0.037
H1227TS022_2__H1227TS494_3	0.072	0.05	0.05	0.033	0.756	0.086
H1227TS022_4__H1227TS274_3	0.644	0.729	0.73	0.667	0.739	0.335
H1227TS023_1__H1227TS465_5	0.011	0.009	0.009	0.003	0.435	0.008
H1227TS023_2__H1227TS014_1	0.045	0.018	0.018	0.01	0.743	0.029
H1227TS023_5__H1227TS312_3	0.838	0.816	0.816	0.861	0.882	0.442
H1227TS028_1__H1227TS163_1	0.074	0.051	0.051	0.045	0.822	0.076
H1227TS028_5__H1227TS304_2	0.647	0.745	0.871	0.734	0.706	0.461
H1227TS040_5__H1227TS221_5	0.599	0.724	0.724	0.68	0.683	0.338
H1227TS051_2__H1227TS139_5	0.064	0.04	0.04	0.016	0.472	0.051
H1227TS059_3__H1227TS023_1	0.049	0.034	0.034	0.01	0.672	0.037
H1227TS075_1__H1227TS079_5	0.046	0.033	0.033	0.017	0.72	0.029
H1227TS079_2__H1227TS079_4	0.05	0.025	0.025	0.017	0.841	0.035
H1227TS085_3__H1227TS052_3	0.667	0.814	0.814	0.754	0.743	0.448
H1227TS085_3__H1227TS085_2	1.0	1.0	1.0	1.0	1.0	1.0
H1227TS085_5__H1227TS085_2	1.0	1.0	1.0	1.0	1.0	1.0
H1227TS091_3__H1227TS393_2	0.566	0.605	0.677	0.627	0.633	0.283
H1227TS110_3__H1227TS331_5	0.06	0.039	0.039	0.026	0.821	0.031
H1227TS110_5__H1227TS221_2	0.536	0.659	0.659	0.643	0.72	0.297
H1227TS117_4__H1227TS241_1	0.042	0.037	0.038	0.017	0.554	0.067
H1227TS122_2__H1227TS286_4	0.0	0.0	0.0	0.0	0.004	0.013
H1227TS139_3__H1227TS198_5	0.466	0.663	0.663	0.562	0.619	0.192
H1227TS145_1__H1227TS456_1	0.769	0.791	0.792	0.772	0.788	0.45
H1227TS145_5__H1227TS290_3	0.062	0.039	0.039	0.025	0.737	0.042
H1227TS148_4__H1227TS369_2	0.059	0.044	0.044	0.027	0.721	0.074
H1227TS163_5__H1227TS028_3	0.786	0.816	0.816	0.812	0.834	0.525
H1227TS164_4__H1227TS345_5	0.746	0.762	0.762	0.795	0.834	0.369
H1227TS198_2__H1227TS022_5	0.951	0.952	0.952	0.947	0.942	0.765
H1227TS198_3__H1227TS345_2	0.062	0.036	0.036	0.019	0.77	0.052
H1227TS198_4__H1227TS148_4	0.054	0.032	0.032	0.014	0.744	0.032
H1227TS204_5__H1227TS204_2	0.057	0.041	0.041	0.03	0.772	0.051
H1227TS218_1__H1227TS085_3	0.59	0.761	0.761	0.661	0.703	0.277
H1227TS218_1__H1227TS331_1	0.67	0.839	0.839	0.695	0.741	0.419
H1227TS219_1__H1227TS219_3	0.603	0.712	0.712	0.669	0.687	0.363
H1227TS219_3__H1227TS323_1	0.063	0.038	0.038	0.019	0.72	0.038
H1227TS221_1__H1227TS028_5	0.595	0.647	0.647	0.64	0.722	0.292
H1227TS221_1__H1227TS312_2	0.822	0.817	0.817	0.852	0.859	0.427
H1227TS241_2__H1227TS462_3	0.078	0.047	0.047	0.038	0.827	0.086
H1227TS241_3__H1227TS462_2	0.069	0.044	0.044	0.029	0.836	0.072
H1227TS241_5__H1227TS425_5	0.849	0.845	0.845	0.865	0.873	0.472
H1227TS261_1__H1227TS059_2	0.515	0.587	0.587	0.54	0.623	0.27
H1227TS262_2__H1227TS264_4	0.618	0.782	0.782	0.713	0.757	0.424
H1227TS262_3__H1227TS274_2	0.056	0.037	0.037	0.018	0.794	0.029
H1227TS264_2__H1227TS419_1	0.85	0.827	0.827	0.873	0.885	0.45
H1227TS264_6__H1227TS298_4	0.606	0.654	0.654	0.638	0.693	0.308
H1227TS274_3__H1227TS290_4	0.053	0.034	0.034	0.02	0.758	0.035
H1227TS274_4__H1227TS345_1	0.058	0.037	0.037	0.026	0.793	0.035
H1227TS284_1__H1227TS312_5	0.561	0.678	0.678	0.671	0.738	0.304
H1227TS284_2__H1227TS075_1	0.075	0.002	0.057	0.001	0.014	0.035
H1227TS286_2__H1227TS221_4	0.824	0.807	0.807	0.838	0.844	0.428
H1227TS286_3__H1227TS145_1	0.67	0.801	0.801	0.747	0.768	0.421
H1227TS290_5__H1227TS014_6	0.073	0.054	0.054	0.051	0.671	0.027
H1227TS293_4__H1227TS241_5	0.077	0.052	0.052	0.039	0.752	0.105
H1227TS294_2__H1227TS312_4	0.544	0.634	0.634	0.641	0.716	0.257
H1227TS294_5__H1227TS085_1	0.716	0.837	0.837	0.789	0.78	0.329
H1227TS298_2__H1227TS079_5	0.047	0.02	0.02	0.01	0.716	0.033
H1227TS298_4__H1227TS091_4	0.529	0.634	0.703	0.595	0.592	0.319
H1227TS301_1__H1227TS293_2	0.601	0.845	0.845	0.75	0.757	0.324
H1227TS304_1__H1227TS023_3	0.842	0.73	0.858	0.735	0.699	0.546
H1227TS312_1__H1227TS014_5	0.048	0.03	0.03	0.013	0.729	0.034
H1227TS319_1__H1227TS322_3	0.053	0.037	0.037	0.017	0.746	0.035
H1227TS319_4__H1227TS462_5	0.06	0.037	0.037	0.03	0.836	0.036
H1227TS322_1__H1227TS262_1	0.064	0.039	0.039	0.013	0.697	0.042
H1227TS322_3__H1227TS393_2	0.079	0.051	0.051	0.033	0.754	0.097
H1227TS331_4__H1227TS331_5	1.0	1.0	1.0	1.0	1.0	1.0
H1227TS345_5__H1227TS023_1	0.6	0.713	0.713	0.716	0.755	0.324
H1227TS419_2__H1227TS261_5	0.054	0.029	0.031	0.01	0.675	0.013
H1227TS419_2__H1227TS345_2	0.711	0.754	0.81	0.744	0.735	0.597
H1227TS419_4__H1227TS147_3	0.061	0.035	0.035	0.017	0.732	0.039
H1227TS419_4__H1227TS312_3	0.831	0.823	0.823	0.839	0.841	0.46
H1227TS425_3__H1227TS164_5	0.791	0.761	0.761	0.795	0.837	0.352
H1227TS425_5__H1227TS425_4	1.0	1.0	1.0	1.0	1.0	1.0
H1227TS450_1__H1227TS052_4	0.596	0.647	0.802	0.672	0.664	0.384
H1227TS450_1__H1227TS117_5	0.473	0.652	0.68	0.548	0.655	0.273
H1227TS456_2__H1227TS489_3	0.603	0.748	0.749	0.673	0.727	0.387
H1227TS456_5__H1227TS040_2	0.529	0.366	0.708	0.393	0.33	0.323
H1227TS456_5__H1227TS221_4	0.498	0.29	0.529	0.347	0.335	0.274
H1227TS462_3__H1227TS219_1	0.574	0.712	0.712	0.665	0.688	0.354
H1227TS462_3__H1227TS331_4	0.059	0.039	0.039	0.026	0.835	0.029
H1227TS475_1__H1227TS388_3	0.068	0.049	0.049	0.026	0.713	0.068
H1227TS489_4__H1227TS294_4	0.713	0.835	0.835	0.722	0.755	0.468
H1227TS494_1__H1227TS393_2	0.05	0.034	0.034	0.016	0.733	0.034
H1227TS494_4__H1227TS465_5	0.182	0.205	0.206	0.19	0.468	0.085
H1229TS014_1__H1229TS051_4	0.86	0.89	0.89	0.859	0.814	0.752
H1229TS014_5__H1229TS167_5	0.0	0.0	0.0	0.0	0.101	0.005
H1229TS015_4__H1229TS465_2	0.396	0.562	0.562	0.32	0.529	0.444
H1229TS022_3__H1229TS419_3	0.479	0.556	0.556	0.382	0.527	0.469
H1229TS022_4__H1229TS241_4	0.572	0.694	0.694	0.515	0.596	0.502
H1229TS023_2__H1229TS261_2	0.507	0.587	0.587	0.379	0.504	0.361
H1229TS028_2__H1229TS489_1	0.921	0.97	0.97	0.967	0.95	0.819
H1229TS028_5__H1229TS397_2	0.667	0.885	0.885	0.747	0.684	0.615
H1229TS051_2__H1229TS023_3	0.81	0.925	0.925	0.876	0.843	0.689
H1229TS051_4__H1229TS147_1	0.801	0.878	0.878	0.853	0.779	0.559
H1229TS051_6__H1229TS462_2	0.874	0.942	0.942	0.899	0.884	0.729
H1229TS052_1__H1229TS241_4	0.523	0.659	0.659	0.471	0.541	0.483
H1229TS052_3__H1229TS075_1	0.648	0.87	0.87	0.742	0.803	0.741
H1229TS052_5__H1229TS059_5	0.407	0.638	0.642	0.497	0.609	0.491
H1229TS052_5__H1229TS294_4	0.552	0.761	0.761	0.621	0.65	0.56
H1229TS059_1__H1229TS117_4	0.003	0.0	0.0	0.0	0.035	0.045
