input	cv1_target_residues	cv1_model_residues	cv1_target_atoms	cv1_model_atoms	cv3_target_atoms	cv3_model_atoms	cv4_target_atoms	cv4_model_atoms	old_global_score	voronota_js_global_score	cadscore_lt_global_score	cadscore_lt_global_f1	cadscore_lt_rm_global_score	cadscore_lt_rm_global_f1	cadscore_lt_r_global_score	cadscore_lt_r_global_f1	old_iface_score	voronota_js_iface_score	cadscore_lt_iface_score	cadscore_lt_iface_f1	cadscore_lt_rm_iface_score	cadscore_lt_rm_iface_f1	cadscore_lt_r_iface_score	cadscore_lt_r_iface_f1	old_global_time	voronota_js_global_time	cadscore_lt_global_time	cadscore_lt_rm_global_time	cadscore_lt_r_global_time	old_iface_time	voronota_js_iface_time	cadscore_lt_iface_time	cadscore_lt_rm_iface_time	cadscore_lt_r_iface_time	voronota_js_lt_global_score	voronota_js_lt_global_time	voronota_js_lt_iface_score	voronota_js_lt_iface_time
H0232TS380_3__H0232TS219_1	924	924	7152	7148	7152	7148	7152	7148	0.848498	0.85014	0.850859	0.898637	0.850968	0.89868	0.850859	0.898637	0.427024	0.42653	0.430601	0.467391	0.430875	0.467025	0.430601	0.467391	7.94	10.00	0.44	0.50	0.46	7.32	0.89	0.09	0.12	0.14	0.85086	1.24	0.4306	0.39
H0232TS380_4__H0232TS022_2	924	884	7152	6964	7152	6964	7152	6964	0.845554	0.84239	0.84279	0.897752	0.842857	0.897786	0.84279	0.897752	0.4178	0.43464	0.4362	0.457761	0.4362	0.457761	0.4362	0.457761	7.63	10.42	0.43	0.46	0.52	6.85	1.02	0.11	0.12	0.12	0.84279	1.32	0.4362	0.42
H0232TS388_2__H0232TS300_2	924	1430	7148	10816	7148	10816	7148	10816	0.529238	0.52078	0.520567	0.462256	0.541463	0.489443	0.540833	0.489238	0	0	0	0	0	0	0	0	10.48	13.06	0.54	0.71	0.57	9.97	1.53	0.14	0.17	0.15	0.52057	1.67	0	0.54
H0232TS388_4__H0232TS028_5	924	924	7148	7152	7148	7152	7148	7152	0.856446	0.85612	0.856372	0.903246	0.856589	0.903464	0.856372	0.903246	0.417486	0.43487	0.436821	0.448857	0.440005	0.452111	0.436821	0.448857	7.61	10.43	0.43	0.48	0.45	7.90	0.90	0.10	0.13	0.13	0.85637	1.35	0.43682	0.43
H0232TS388_4__H0232TS059_1	924	924	7148	7148	7148	7148	7148	7148	0.857187	0.85993	0.860993	0.911229	0.861078	0.911266	0.860993	0.911229	0.445842	0.45691	0.457205	0.481811	0.457467	0.48207	0.457205	0.481811	8.06	10.06	0.42	0.45	0.54	7.59	0.91	0.11	0.12	0.12	0.86099	1.30	0.4572	0.43
H0232TS419_3__H0232TS369_3	924	462	7152	3576	7152	3576	7152	3576	0.410994	0.41072	0.411002	0.590098	0.411505	0.590641	0.411002	0.590098	0.00424765	0.0052	0.005094	0.015823	0.005094	0.015823	0.005094	0.015823	5.37	6.68	0.33	0.34	0.36	5.41	0.66	0.07	0.10	0.09	0.411	1.03	0.00509	0.29
H0232TS425_4__H0232TS059_3	924	924	7152	7148	7152	7148	7152	7148	0.556756	0.54454	0.544978	0.602395	0.848112	0.905833	0.848061	0.905809	0	0	0	0	0.366623	0.442469	0.366623	0.442469	7.72	10.62	0.52	0.44	0.44	6.84	0.96	0.10	0.12	0.13	0.54498	1.33	0	0.40
H0232TS456_1__H0232TS322_4	884	924	6964	7148	6964	7148	6964	7148	0.868236	0.8727	0.873464	0.898568	0.875135	0.900467	0.873464	0.898568	0.415377	0.42173	0.424411	0.438382	0.454978	0.472205	0.424411	0.438382	7.97	10.22	0.45	0.50	0.45	7.34	1.17	0.10	0.13	0.13	0.87346	1.34	0.42441	0.41
H0232TS456_3__H0232TS122_3	884	462	6964	3576	6964	3576	6964	3576	0.280414	0.27595	0.275941	0.401249	0.419248	0.589117	0.419248	0.589117	0	0	0	0	0	0	0	0	5.91	7.55	0.33	0.34	0.36	5.40	0.61	0.07	0.09	0.09	0.27594	0.99	0	0.32
H0232TS456_4__H0232TS014_5	884	924	6964	7152	6964	7152	6964	7152	0.561407	0.5527	0.553328	0.594142	0.87033	0.905763	0.869597	0.904971	0	0	0	0	0.445629	0.490189	0.431839	0.475195	7.86	10.23	0.43	0.46	0.46	7.62	1.02	0.11	0.12	0.12	0.55333	1.36	0	0.41
H0232TS456_4__H0232TS147_4	884	924	6964	7152	6964	7152	6964	7152	0.559144	0.54805	0.548071	0.589834	0.858689	0.892351	0.858423	0.891858	0	0	0	0	0.397904	0.439437	0.393081	0.430446	7.48	10.11	0.43	0.48	0.46	7.08	0.92	0.10	0.12	0.12	0.54807	1.32	0	0.43
H0232TS456_5__H0232TS375_4	924	1408	7152	10772	7152	10772	7152	10772	0.901564	0.89468	0.894648	0.737209	0.894904	0.737693	0.894648	0.737209	0.424449	0.42826	0.428394	0.373428	0.428805	0.37378	0.428394	0.373428	10.45	13.70	0.56	0.66	0.58	10.18	1.46	0.13	0.16	0.15	0.89465	1.68	0.42839	0.53
H0232TS462_1__H0232TS267_2	924	462	7152	3576	7152	3576	7152	3576	0.426715	0.42351	0.423613	0.597958	0.423991	0.598289	0.423613	0.597958	0.000479658	0.00138	0.001405	0.002574	0.00152	0.002668	0.001405	0.002574	4.79	7.30	0.32	0.35	0.35	5.42	0.73	0.08	0.09	0.09	0.42361	1.00	0.0014	0.32
H0232TS475_2__H0232TS462_2	462	924	3576	7152	3576	7152	3576	7152	0.838325	0.8339	0.83417	0.583599	0.837775	0.585905	0.83417	0.583599	0	0	0	0	0.085224	0.046796	0	0	6.05	7.07	0.32	0.35	0.36	5.71	0.56	0.07	0.09	0.09	0.83417	1.01	0	0.33
H0232TS475_3__H0232TS164_3	462	924	3576	7152	3576	7152	3576	7152	0.852323	0.85326	0.853933	0.59273	0.854201	0.592812	0.853933	0.59273	0	0	0	0	0	0	0	0	5.90	7.39	0.32	0.34	0.35	5.47	0.60	0.08	0.11	0.09	0.85393	1.00	0	0.30
H0233TS014_5__H0233TS311_2	1316	1316	10044	10050	10044	10050	10044	10050	0.471879	0.46547	0.465121	0.52254	0.864272	0.914207	0.864272	0.914207	0	0	0	0	0.536385	0.62819	0.536385	0.62819	12.15	14.83	0.63	0.66	0.65	10.51	2.11	0.16	0.21	0.20	0.46512	1.85	0	0.56
H0233TS023_2__H0233TS304_2	658	658	5025	5025	5025	5025	5025	5025	0.780406	0.79623	0.796677	0.863921	0.796677	0.863921	0.796677	0.863921	0.277239	0.33516	0.337127	0.397227	0.337127	0.397227	0.337127	0.397227	5.21	7.10	0.32	0.32	0.30	4.99	0.71	0.07	0.09	0.08	0.79668	0.92	0.33713	0.31
H0233TS023_3__H0233TS261_1	658	658	5025	5022	5025	5022	5025	5022	0.72449	0.74531	0.745669	0.832416	0.745669	0.832416	0.745669	0.832416	0.24864	0.29762	0.298455	0.360991	0.298455	0.360991	0.298455	0.360991	5.22	7.11	0.29	0.30	0.37	5.21	0.90	0.07	0.09	0.08	0.74567	0.88	0.29846	0.29
H0233TS023_5__H0233TS114_1	658	658	5025	5025	5025	5025	5025	5025	0.342928	0.32658	0.32614	0.388224	0.614014	0.690142	0.614014	0.690142	0	0	0	0	0.187165	0.212186	0.187165	0.212186	5.60	6.76	0.28	0.30	0.30	5.09	0.77	0.07	0.08	0.09	0.32614	0.90	0	0.29
H0233TS023_5__H0233TS241_5	658	877	5025	6735	5025	6735	5025	6735	0.634232	0.63091	0.630439	0.586821	0.797184	0.729278	0.797184	0.729278	0	0	0	0	0.199672	0.178893	0.199672	0.178893	6.49	8.47	0.43	0.38	0.38	6.27	0.83	0.09	0.12	0.10	0.63044	1.10	0	0.32
H0233TS028_3__H0233TS264_3	1316	658	10050	5025	10050	5025	10050	5025	0.44974	0.44905	0.449212	0.62502	0.449212	0.62502	0.449212	0.62502	0.334695	0.33541	0.336285	0.510521	0.336285	0.510521	0.336285	0.510521	8.83	10.48	0.46	0.52	0.46	8.14	1.49	0.11	0.13	0.14	0.44921	1.36	0.33629	0.44
H0233TS028_5__H0233TS425_3	1316	1316	10050	10050	10050	10050	10050	10050	0.483219	0.47299	0.472364	0.523066	0.873963	0.915032	0.873673	0.914876	0	0	0	0.000224	0.551328	0.59721	0.55124	0.597168	10.91	14.95	0.60	0.68	0.66	10.38	2.15	0.17	0.18	0.21	0.47236	1.84	0	0.61
H0233TS051_3__H0233TS164_3	1316	877	10050	6735	10050	6735	10050	6735	0.300882	0.29222	0.291781	0.390238	0.597671	0.746277	0.597671	0.746277	0	0	0	0	0.423666	0.553035	0.423563	0.552929	9.97	11.16	0.50	0.57	0.55	9.37	1.50	0.12	0.17	0.15	0.29178	1.48	0	0.49
H0233TS051_5__H0233TS423_4	658	877	5025	6731	5025	6731	5025	6731	0.497836	0.48761	0.487029	0.460827	0.868601	0.771327	0.868601	0.771327	0	0	0	0	0.54513	0.424777	0.54513	0.424777	6.46	6.72	0.36	0.37	0.36	5.50	1.05	0.10	0.10	0.10	0.48703	1.11	0	0.37
H0233TS052_4__H0233TS167_5	1316	1316	10050	10050	10050	10050	10050	10050	0.444022	0.43474	0.434624	0.498496	0.742312	0.824135	0.742287	0.824126	0	0	0	0	0.319423	0.411642	0.319375	0.411631	11.52	14.87	0.60	0.66	0.64	11.79	1.78	0.18	0.19	0.19	0.43462	1.87	0	0.53
H0233TS059_4__H0233TS393_3	658	658	5022	5025	5022	5025	5022	5025	0.878486	0.88511	0.885585	0.930307	0.885585	0.930307	0.885585	0.930307	0.587992	0.61012	0.611734	0.656159	0.611734	0.656159	0.611734	0.656159	5.39	6.94	0.29	0.30	0.31	4.80	0.55	0.07	0.09	0.10	0.88558	0.91	0.61173	0.29
H0233TS075_4__H0233TS167_3	1974	1316	15075	10050	15075	10050	15075	10050	0.283941	0.27316	0.272681	0.370771	0.461531	0.612643	0.444655	0.589171	0.000186341	0.00024	0.000253	0.000219	0.25278	0.253416	0.007045	0.008425	14.29	19.48	0.78	0.86	0.83	13.77	3.22	0.22	0.26	0.24	0.27268	2.35	0.00025	0.82
H0233TS075_4__H0233TS272_5	1974	1316	15075	10044	15075	10044	15075	10044	0.336329	0.32515	0.324733	0.42878	0.604902	0.750351	0.604902	0.750351	0	0	0	0	0.493179	0.602086	0.492858	0.602103	14.18	18.60	0.76	0.84	0.80	14.70	2.60	0.18	0.26	0.23	0.32473	2.33	0	0.78
H0233TS079_3__H0233TS267_1	658	658	5025	5025	5025	5025	5025	5025	0.893016	0.89631	0.896374	0.933251	0.896374	0.933251	0.896374	0.933251	0.56077	0.59494	0.595134	0.665337	0.595134	0.665337	0.595134	0.665337	5.46	6.66	0.32	0.31	0.32	4.78	0.78	0.07	0.09	0.08	0.89637	0.92	0.59513	0.28
H0233TS079_4__H0233TS139_5	658	877	5022	6735	5022	6735	5022	6735	0.471285	0.4612	0.461267	0.451804	0.811456	0.752248	0.809762	0.752257	0	0	0	0	0.493812	0.467485	0.493812	0.467485	5.97	7.87	0.35	0.38	0.35	6.10	0.96	0.08	0.10	0.10	0.46127	1.09	0	0.31
H0233TS079_5__H0233TS059_3	658	877	5022	6731	5022	6731	5022	6731	0.861564	0.87126	0.872883	0.780918	0.872883	0.780918	0.872883	0.780918	0.505127	0.56394	0.568869	0.479973	0.568869	0.479973	0.568869	0.479973	6.07	8.56	0.35	0.39	0.42	6.16	1.02	0.09	0.12	0.10	0.87288	1.08	0.56887	0.33
H0233TS079_5__H0233TS419_5	658	1316	5022	10050	5022	10050	5022	10050	0.486555	0.47758	0.477262	0.356892	0.861312	0.602676	0.861004	0.602476	0	0	0	0	0.608577	0.366329	0.608514	0.365938	8.70	11.09	0.46	0.50	0.50	7.01	1.50	0.11	0.15	0.13	0.47726	1.42	0	0.44
H0233TS110_3__H0233TS293_3	1316	658	10050	5025	10050	5025	10050	5025	0.433162	0.43181	0.431827	0.607898	0.43208	0.608186	0.431827	0.607898	0.235459	0.24061	0.240645	0.373497	0.241578	0.374451	0.240645	0.373497	9.07	10.96	0.45	0.48	0.57	8.57	1.36	0.11	0.14	0.14	0.43183	1.37	0.24064	0.46
H0233TS114_1__H0233TS028_1	658	1316	5025	10050	5025	10050	5025	10050	0.701306	0.67531	0.676797	0.483134	0.677525	0.483299	0.676797	0.483134	0.461742	0.44476	0.445713	0.28237	0.445713	0.28237	0.445713	0.28237	8.66	10.75	0.45	0.48	0.47	8.00	1.29	0.11	0.13	0.14	0.6768	1.38	0.44571	0.45
H0233TS114_1__H0233TS301_1	658	1974	5025	15075	5025	15075	5025	15075	0.348802	0.31898	0.318713	0.188921	0.676433	0.363319	0.676149	0.363417	0	0	0	0	0.45839	0.241142	0.456698	0.240767	11.19	15.01	0.60	0.75	0.62	11.20	1.63	0.16	0.19	0.19	0.31871	1.76	0	0.50
H0233TS114_5__H0233TS312_5	875	658	6663	5025	6663	5025	6663	5025	0.233084	0.21615	0.21654	0.304629	0.462282	0.593501	0.458543	0.581645	0	0	0	0	0.167028	0.259967	0	0	6.28	7.21	0.33	0.39	0.36	6.24	0.81	0.08	0.10	0.10	0.21654	1.04	0	0.33
H0233TS122_1__H0233TS139_3	1974	877	15075	6735	15075	6735	15075	6735	0.249076	0.24358	0.243646	0.379935	0.361319	0.543777	0.361212	0.543585	0.00734228	0.00926	0.0093	0.023211	0.154455	0.261738	0.153168	0.258939	13.26	16.51	0.67	0.85	0.71	12.43	1.88	0.15	0.20	0.21	0.24365	1.92	0.0093	0.55
H0233TS122_3__H0233TS059_1	1974	877	15075	6731	15075	6731	15075	6731	0.201111	0.19407	0.193929	0.303636	0.381372	0.557665	0.381361	0.557775	0	0	0	0	0.178968	0.278772	0.178954	0.278565	11.02	16.90	0.65	0.82	0.69	11.43	1.74	0.17	0.21	0.18	0.19393	2.01	0	0.63
H0233TS122_4__H0233TS147_2	1974	1316	15075	10050	15075	10050	15075	10050	0.335772	0.32636	0.325949	0.429318	0.614401	0.759879	0.614401	0.759879	0	0	0	0	0.51689	0.627423	0.51689	0.627423	14.11	19.65	0.76	0.83	0.80	14.13	2.18	0.21	0.23	0.23	0.32595	2.20	0	0.75
H0233TS122_4__H0233TS148_4	1974	658	15075	5025	15075	5025	15075	5025	0.168685	0.16364	0.163466	0.27162	0.300934	0.469189	0.300934	0.469189	0	0	0	0	0.232689	0.388216	0.232689	0.388216	12.02	13.97	0.62	0.67	0.64	10.91	1.99	0.14	0.18	0.17	0.16347	1.85	0	0.57
H0233TS139_2__H0233TS208_1	877	658	6735	5025	6735	5025	6735	5025	0.356112	0.34673	0.346038	0.450238	0.613676	0.757707	0.611502	0.755156	0	0	0	0	0.368598	0.484913	0.368598	0.484913	6.59	7.95	0.35	0.36	0.36	5.90	0.80	0.08	0.11	0.11	0.34604	1.08	0	0.28
H0233TS139_3__H0233TS456_1	877	1316	6735	10050	6735	10050	6735	10050	0.692042	0.69095	0.69116	0.606386	0.834138	0.720868	0.834138	0.720868	0.243044	0.26943	0.269455	0.229475	0.640597	0.517389	0.639345	0.516956	9.60	12.60	0.51	0.54	0.52	8.73	1.69	0.12	0.16	0.14	0.69116	1.56	0.26946	0.47
H0233TS147_2__H0233TS167_2	1316	658	10050	5025	10050	5025	10050	5025	0.372855	0.37607	0.376101	0.55574	0.376118	0.555762	0.376101	0.55574	0.15064	0.16487	0.165736	0.281478	0.166133	0.282027	0.165736	0.281478	8.06	10.72	0.45	0.50	0.48	7.54	1.39	0.11	0.14	0.13	0.3761	1.39	0.16574	0.45
H0233TS163_3__H0233TS301_2	877	1974	6735	15075	6735	15075	6735	15075	0.43721	0.41723	0.416567	0.298574	0.857089	0.562114	0.856798	0.562068	0	0	0	0	0.39959	0.283699	0.39548	0.282342	12.75	14.04	0.39	0.91	0.79	11.27	1.74	0.25	0.22	0.21	0.41657	1.93	0	0.63
H0233TS164_3__H0233TS167_1	877	658	6735	5025	6735	5025	6735	5025	0.557534	0.55855	0.558845	0.709584	0.559568	0.710149	0.558845	0.709584	0.263302	0.29141	0.293383	0.405249	0.293383	0.405249	0.293383	0.405249	6.72	8.74	0.37	0.40	0.38	6.31	1.12	0.09	0.13	0.11	0.55885	1.06	0.29338	0.36
H0233TS164_5__H0233TS139_5	877	877	6735	6735	6735	6735	6735	6735	0.426089	0.41337	0.412976	0.481815	0.821848	0.901157	0.821848	0.901157	0	0	0	0	0.58745	0.722133	0.58745	0.722133	7.32	10.10	0.40	0.43	0.40	7.05	1.13	0.09	0.11	0.13	0.41298	1.21	0	0.37
H0233TS167_5__H0233TS450_2	1316	658	10050	5025	10050	5025	10050	5025	0.363644	0.36317	0.363379	0.547255	0.36343	0.547315	0.363379	0.547255	0.159603	0.15873	0.15968	0.262638	0.1598	0.262558	0.15968	0.262638	8.07	11.03	0.47	0.52	0.49	8.13	1.39	0.11	0.14	0.14	0.36338	1.42	0.15968	0.41
H0233TS196_2__H0233TS040_4	1316	636	10050	4855	10050	4855	10050	4855	0.214357	0.21002	0.209985	0.329738	0.361738	0.542581	0.361136	0.542178	0	0	0	0	0.171563	0.289543	0.171288	0.289145	8.53	9.74	0.45	0.48	0.47	7.60	1.47	0.11	0.15	0.15	0.20999	1.35	0	0.47
H0233TS208_2__H0233TS298_2	658	877	5025	6731	5025	6731	5025	6731	0.495761	0.48515	0.484648	0.459872	0.869146	0.772969	0.868349	0.772757	0	0	0	0	0.569248	0.459958	0.569248	0.459958	6.66	7.96	0.36	0.38	0.40	5.92	0.78	0.11	0.11	0.10	0.48465	1.10	0	0.35
H0233TS208_3__H0233TS264_4	658	658	5025	5025	5025	5025	5025	5025	0.949558	0.94991	0.950128	0.968991	0.950128	0.968991	0.950128	0.968991	0.913929	0.91365	0.91486	0.948124	0.91486	0.948124	0.91486	0.948124	5.00	6.78	0.29	0.34	0.32	5.09	0.75	0.07	0.08	0.09	0.95013	0.88	0.91486	0.28
H0233TS208_4__H0233TS059_2	658	877	5025	6731	5025	6731	5025	6731	0.864895	0.86744	0.868316	0.777192	0.870697	0.778691	0.868316	0.777192	0.567949	0.56737	0.56955	0.486584	0.56955	0.486584	0.56955	0.486584	6.44	8.30	0.34	0.36	0.36	6.16	0.84	0.08	0.10	0.11	0.86832	1.02	0.56955	0.34
H0233TS221_2__H0233TS148_4	1316	658	10050	5025	10050	5025	10050	5025	0.3847	0.38208	0.382199	0.55654	0.395477	0.576804	0.382199	0.55654	0	0	0	0	0.174334	0.295411	0	0	8.96	10.31	0.46	0.49	0.49	7.94	1.25	0.13	0.16	0.14	0.38221	1.39	0	0.44
H0233TS221_2__H0233TS388_3	1316	877	10050	6731	10050	6731	10050	6731	0.533267	0.53473	0.534836	0.692017	0.550262	0.712376	0.534836	0.692017	0.0960352	0.10411	0.104345	0.160493	0.302536	0.43453	0.104345	0.160493	9.86	11.76	0.51	0.56	0.58	8.51	1.61	0.13	0.16	0.16	0.53485	1.56	0.10435	0.44
H0233TS221_3__H0233TS075_5	1316	1974	10050	15075	10050	15075	10050	15075	0.476805	0.4641	0.463398	0.419577	0.816296	0.70841	0.785931	0.680913	0	0	0	0	0.429944	0.41803	0.021591	0.026105	14.70	18.83	0.76	0.86	0.80	14.46	2.51	0.18	0.23	0.23	0.4634	2.38	0	0.71
H0233TS221_5__H0233TS241_5	1316	877	10050	6735	10050	6735	10050	6735	0.296215	0.28902	0.288622	0.393515	0.584375	0.744287	0.566922	0.721228	0	0	0	0	0.384264	0.552494	0.153177	0.228932	9.92	12.50	0.61	0.57	0.53	8.84	1.75	0.12	0.22	0.16	0.28862	1.52	0	0.50
H0233TS241_4__H0233TS148_3	1316	658	10050	5025	10050	5025	10050	5025	0.249383	0.24351	0.243198	0.361651	0.456064	0.630811	0.456064	0.630811	0.000903778	0.00089	0.000911	0.001328	0.341426	0.513943	0.341151	0.513757	8.47	10.78	0.45	0.48	0.48	8.19	1.47	0.11	0.14	0.13	0.2432	1.39	0.00091	0.45
H0233TS261_1__H0233TS052_1	658	1316	5022	10050	5022	10050	5022	10050	0.47695	0.4659	0.465467	0.351552	0.799087	0.579274	0.798778	0.579209	0	0	0	0	0.500849	0.328992	0.500849	0.328992	8.54	11.01	0.46	0.49	0.47	8.18	1.13	0.11	0.13	0.13	0.46547	1.37	0	0.42
H0233TS261_2__H0233TS425_4	658	658	5022	5025	5022	5025	5022	5025	0.761896	0.77823	0.778652	0.861152	0.778652	0.861152	0.778652	0.861152	0.433595	0.43842	0.438802	0.543214	0.438802	0.543214	0.438802	0.543214	5.43	6.70	0.29	0.30	0.30	5.22	0.57	0.06	0.10	0.08	0.77865	0.90	0.4388	0.28
H0233TS262_5__H0233TS164_3	1316	877	10044	6735	10044	6735	10044	6735	0.293901	0.28563	0.285318	0.386003	0.575336	0.732112	0.575296	0.73209	0	0	0	0	0.37882	0.522201	0.378736	0.522141	9.36	12.34	0.50	0.54	0.54	9.23	1.64	0.16	0.14	0.16	0.28532	1.56	0	0.50
H0233TS264_1__H0233TS221_4	658	1316	5025	10050	5025	10050	5025	10050	0.814656	0.81813	0.818659	0.583253	0.818659	0.583253	0.818659	0.583253	0.508455	0.52687	0.528872	0.327567	0.528872	0.327567	0.528872	0.327567	7.92	11.18	0.44	0.50	0.57	8.14	1.40	0.11	0.15	0.13	0.81866	1.37	0.52887	0.44
H0233TS264_3__H0233TS331_3	658	1316	5025	10050	5025	10050	5025	10050	0.491043	0.48002	0.47976	0.353759	0.851141	0.592351	0.819667	0.569716	0	0	0	0.000167	0.557018	0.304846	0	0	8.82	11.21	0.46	0.56	0.50	8.26	1.56	0.11	0.14	0.14	0.47976	1.34	0	0.44
H0233TS264_4__H0233TS264_5	658	658	5025	5025	5025	5025	5025	5025	0.924836	0.92788	0.928315	0.956604	0.928315	0.956604	0.928315	0.956604	0.892508	0.89652	0.89763	0.930993	0.89763	0.930993	0.89763	0.930993	5.34	6.16	0.29	0.32	0.33	5.11	0.70	0.07	0.09	0.09	0.92832	0.93	0.89763	0.32
H0233TS267_2__H0233TS456_3	658	1316	5025	10050	5025	10050	5025	10050	0.49877	0.48922	0.489056	0.361847	0.870292	0.605994	0.870284	0.605979	0	0	0	0	0.628981	0.347104	0.628981	0.347104	8.55	10.84	0.49	0.50	0.47	8.16	1.41	0.11	0.15	0.13	0.48906	1.39	0	0.44
H0233TS272_1__H0233TS293_4	1316	658	10044	5022	10044	5022	10044	5022	0.378773	0.38066	0.381124	0.569583	0.381893	0.57025	0.381124	0.569583	0.185959	0.19147	0.191755	0.316867	0.191755	0.316867	0.191755	0.316867	8.50	11.04	0.47	0.63	0.50	7.71	1.50	0.11	0.16	0.14	0.38112	1.33	0.19176	0.45
H0233TS274_5__H0233TS462_2	1316	1316	10044	10050	10044	10050	10044	10050	0.47801	0.46845	0.468093	0.525738	0.84627	0.906891	0.84627	0.906891	0	0	0	0	0.62572	0.676264	0.625691	0.676258	11.38	13.13	0.60	0.66	0.63	11.18	2.16	0.14	0.18	0.18	0.46809	1.77	0	0.59
H0233TS284_1__H0233TS380_1	1974	1316	15075	10050	15075	10050	15075	10050	0.406565	0.40022	0.400028	0.513953	0.613719	0.757195	0.603838	0.744957	0.0749515	0.0746	0.074688	0.094039	0.518064	0.610935	0.36408	0.430513	14.81	18.87	0.77	0.85	0.86	14.77	2.35	0.19	0.22	0.21	0.40003	2.29	0.07469	0.75
H0233TS284_3__H0233TS462_1	1974	1316	15075	10050	15075	10050	15075	10050	0.338215	0.3281	0.327699	0.430535	0.616163	0.760153	0.616144	0.760129	0	0	0	0	0.553713	0.646226	0.553564	0.646067	14.78	18.24	0.83	0.87	0.81	14.98	1.98	0.19	0.22	0.22	0.3277	2.29	0	0.75
H0233TS284_5__H0233TS419_5	1974	1316	15075	10050	15075	10050	15075	10050	0.384699	0.37865	0.378739	0.498598	0.572906	0.725301	0.572906	0.725301	0.0106765	0.01382	0.013995	0.024253	0.343358	0.433355	0.343358	0.433355	15.02	16.85	0.76	0.89	0.79	14.57	2.54	0.20	0.24	0.22	0.37874	2.29	0.014	0.75
H0233TS286_1__H0233TS196_3	877	1316	6735	10050	6735	10050	6735	10050	0.421846	0.41211	0.41149	0.377129	0.815001	0.70186	0.78905	0.679008	0.00263037	0.00381	0.003678	0.002734	0.566124	0.451871	0.173694	0.146732	9.72	11.99	0.52	0.56	0.56	8.67	1.59	0.13	0.15	0.15	0.41149	1.47	0.00368	0.52
H0233TS286_5__H0233TS028_2	1316	1316	10050	10050	10050	10050	10050	10050	0.860439	0.87622	0.876801	0.927808	0.876835	0.927832	0.876801	0.927808	0.711926	0.73778	0.736928	0.785484	0.737287	0.785714	0.736928	0.785484	11.71	12.75	0.61	0.67	0.68	10.58	1.80	0.15	0.18	0.19	0.8768	1.86	0.73693	0.62
H0233TS293_5__H0233TS022_2	658	1316	5022	10050	5022	10050	5022	10050	0.494847	0.48489	0.48458	0.358956	0.88088	0.608602	0.880871	0.60863	0	0	0	0	0.579477	0.344685	0.579477	0.344685	8.81	11.24	0.44	0.55	0.50	8.28	1.25	0.11	0.14	0.13	0.48458	1.42	0	0.43
H0233TS294_2__H0233TS300_3	1316	658	10050	5025	10050	5025	10050	5025	0.162022	0.15216	0.152008	0.241501	0.317729	0.468348	0.317729	0.468348	0.00187793	0.00243	0.002438	0.00344	0.162017	0.267276	0.161445	0.272018	8.96	10.34	0.44	0.48	0.48	8.52	1.55	0.11	0.15	0.18	0.15201	1.28	0.00244	0.45
H0233TS294_3__H0233TS147_3	1316	1316	10050	10050	10050	10050	10050	10050	0.497314	0.48689	0.48628	0.534416	0.937368	0.965276	0.937348	0.965261	0.000815114	0.0007	0.000736	0.000739	0.883314	0.936474	0.883306	0.936442	11.60	14.84	0.60	0.64	0.64	11.44	2.23	0.18	0.18	0.17	0.48628	1.87	0.00074	0.58
H0233TS300_4__H0233TS147_2	658	1316	5025	10050	5025	10050	5025	10050	0.335895	0.30786	0.308473	0.240801	0.693019	0.490315	0.692081	0.490062	0	0	0	0	0.45738	0.284638	0.456412	0.284225	8.12	10.80	0.45	0.47	0.45	8.10	1.46	0.11	0.13	0.14	0.30847	1.36	0	0.39
H0233TS300_4__H0233TS388_5	658	877	5025	6731	5025	6731	5025	6731	0.337846	0.30914	0.309532	0.308724	0.700036	0.635937	0.699666	0.634578	0	0	0	0	0.445046	0.400719	0.445046	0.400719	6.45	8.31	0.34	0.36	0.36	5.82	1.03	0.08	0.10	0.09	0.30953	1.03	0	0.35
H0233TS304_2__H0233TS322_2	658	1316	5025	10044	5025	10044	5025	10044	0.49388	0.48436	0.483802	0.360473	0.866961	0.606438	0.866873	0.6063	0	0	0	0	0.6069	0.393975	0.6069	0.393975	8.43	10.96	0.49	0.56	0.46	7.56	1.21	0.13	0.15	0.14	0.4838	1.31	0	0.44
H0233TS304_3__H0233TS423_3	658	877	5025	6731	5025	6731	5025	6731	0.497686	0.48678	0.486029	0.461302	0.883074	0.783196	0.881497	0.78123	0	0	0	0	0.603725	0.49756	0.603725	0.49756	6.59	8.38	0.36	0.38	0.38	6.27	1.01	0.09	0.10	0.10	0.48603	1.12	0	0.34
H0233TS311_3__H0233TS425_5	1316	658	10050	5025	10050	5025	10050	5025	0.250685	0.24426	0.244082	0.362719	0.455258	0.629476	0.455023	0.629253	0.000862386	0.00086	0.000881	0.001288	0.341711	0.516234	0.341209	0.515615	8.83	10.69	0.46	0.51	0.47	7.20	1.46	0.12	0.13	0.13	0.24408	1.38	0.00088	0.45
H0233TS312_2__H0233TS023_5	658	658	5025	5025	5025	5025	5025	5025	0.473556	0.46513	0.464976	0.536116	0.778709	0.857386	0.778709	0.857386	0	0	0	0	0.161271	0.226038	0.161271	0.226038	5.21	6.47	0.29	0.32	0.31	5.32	0.76	0.07	0.09	0.08	0.46498	0.90	0	0.29
