input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H1215TS312_5__H1215TS031_5	0.065	0.047	0.047	0.0	0.212	0.021	0.021	0.021	0.021	0.629
H1215TS312_5__H1215TS301_4	0.034	0.009	0.009	0.0	0.093	0.014	0.014	0.014	0.014	0.629
H1215TS319_3__H1215TS345_6	0.346	0.416	0.416	0.313	0.522	0.282	0.282	0.282	0.282	0.825
H1215TS319_5__H1215TS040_1	0.117	0.069	0.069	0.054	0.233	0.053	0.053	0.053	0.053	0.543
H1215TS337_3__H1215TS221_4	0.0	0.0	0.0	0.0	0.131	0.008	0.008	0.008	0.008	0.532
H1215TS337_4__H1215TS393_2	0.088	0.072	0.072	0.033	0.329	0.043	0.043	0.043	0.043	0.574
H1215TS345_5__H1215TS267_4	0.001	0.0	0.0	0.0	0.133	0.007	0.007	0.007	0.007	0.612
H1215TS375_1__H1215TS163_3	0.072	0.038	0.038	0.015	0.253	0.029	0.029	0.029	0.029	0.624
H1215TS380_1__H1215TS171_4	0.042	0.007	0.007	0.0	0.167	0.012	0.012	0.012	0.012	0.595
H1215TS388_5__H1215TS345_1	0.0	0.0	0.0	0.0	0.0	0.007	0.007	0.007	0.007	0.606
H1215TS419_3__H1215TS031_1	0.72	0.783	0.783	0.756	0.721	0.701	0.701	0.701	0.701	0.936
H1215TS419_3__H1215TS145_4	0.23	0.287	0.287	0.12	0.379	0.109	0.109	0.109	0.109	0.694
H1215TS419_5__H1215TS015_4	0.035	0.009	0.009	0.0	0.163	0.011	0.011	0.011	0.011	0.593
H1215TS423_3__H1215TS191_5	0.006	0.0	0.0	0.0	0.079	0.013	0.013	0.013	0.013	0.606
H1215TS456_1__H1215TS208_5	0.008	0.0	0.0	0.0	0.113	0.009	0.009	0.009	0.009	0.62
H1215TS456_5__H1215TS051_2	0.01	0.0	0.0	0.0	0.113	0.008	0.008	0.008	0.008	0.614
H1215TS462_2__H1215TS465_1	0.975	0.987	0.987	0.941	0.907	0.96	0.96	0.96	0.96	0.995
H1215TS462_4__H1215TS300_1	0.005	0.0	0.0	0.0	0.161	0.011	0.011	0.011	0.011	0.52
H1215TS465_2__H1215TS219_4	0.003	0.0	0.0	0.0	0.212	0.009	0.009	0.009	0.009	0.631
H1215TS475_1__H1215TS375_1	0.129	0.06	0.06	0.074	0.294	0.063	0.063	0.063	0.063	0.639
H1215TS475_4__H1215TS272_2	0.894	0.954	0.954	0.926	0.907	0.932	0.932	0.932	0.932	0.989
H1215TS489_1__H1215TS079_4	0.016	0.0	0.0	0.0	0.135	0.011	0.011	0.011	0.011	0.613
H1215TS494_3__H1215TS298_3	0.064	0.137	0.137	0.046	0.197	0.027	0.027	0.027	0.027	0.61
H1217TS008_2__H1217TS196_4	0.26	0.281	0.669	0.391	0.281	0.622	0.548	0.239	0.228	0.385
H1217TS008_5__H1217TS272_4	0.756	0.686	0.703	0.711	0.665	0.688	0.681	0.688	0.681	0.766
H1217TS015_1__H1217TS139_5	0.599	0.446	0.494	0.486	0.478	0.437	0.38	0.437	0.38	0.612
H1217TS015_3__H1217TS462_4	0.498	0.168	0.393	0.215	0.205	0.371	0.289	0.371	0.289	0.758
H1217TS022_2__H1217TS040_5	0.178	0.192	0.559	0.265	0.209	0.382	0.505	0.143	0.201	0.38
H1217TS022_4__H1217TS022_3	0.907	0.898	0.898	0.891	0.874	0.882	0.898	0.882	0.898	0.91
H1217TS022_4__H1217TS301_2	0.744	0.674	0.857	0.678	0.557	0.764	0.797	0.764	0.797	0.921
H1217TS022_4__H1217TS301_5	0.764	0.647	0.861	0.676	0.55	0.779	0.809	0.779	0.809	0.918
H1217TS023_4__H1217TS052_1	0.696	0.735	0.871	0.781	0.672	0.728	0.807	0.728	0.807	0.625
H1217TS028_1__H1217TS139_4	0.514	0.661	0.734	0.627	0.588	0.428	0.559	0.428	0.559	0.655
H1217TS028_2__H1217TS091_3	0.664	0.749	0.82	0.781	0.67	0.587	0.717	0.587	0.717	0.693
H1217TS040_4__H1217TS110_3	0.364	0.177	0.388	0.223	0.199	0.377	0.365	0.377	0.365	0.577
H1217TS052_1__H1217TS014_1	0.79	0.595	0.66	0.636	0.593	0.802	0.806	0.802	0.806	0.882
H1217TS052_3__H1217TS494_2	0.663	0.728	0.761	0.7	0.676	0.611	0.71	0.611	0.71	0.801
H1217TS059_2__H1217TS022_2	0.644	0.693	0.81	0.668	0.63	0.615	0.702	0.615	0.702	0.643
H1217TS075_4__H1217TS304_4	0.602	0.539	0.539	0.565	0.538	0.444	0.444	0.444	0.444	0.724
H1217TS085_2__H1217TS191_4	0.287	0.067	0.171	0.088	0.138	0.233	0.282	0.233	0.282	0.63
H1217TS085_3__H1217TS148_5	0.633	0.205	0.696	0.27	0.254	0.315	0.343	0.315	0.343	0.697
H1217TS085_3__H1217TS191_4	0.287	0.067	0.171	0.088	0.138	0.233	0.282	0.233	0.282	0.63
H1217TS091_3__H1217TS475_1	0.736	0.705	0.796	0.703	0.62	0.641	0.732	0.641	0.732	0.749
H1217TS091_4__H1217TS015_1	0.445	0.454	0.497	0.509	0.516	0.408	0.562	0.408	0.562	0.656
H1217TS091_4__H1217TS110_3	0.702	0.623	0.664	0.68	0.588	0.669	0.718	0.669	0.718	0.807
H1217TS110_1__H1217TS294_4	0.677	0.641	0.641	0.698	0.614	0.455	0.53	0.455	0.53	0.726
H1217TS117_2__H1217TS221_1	0.352	0.496	0.526	0.373	0.456	0.303	0.324	0.303	0.324	0.723
H1217TS122_1__H1217TS023_3	0.621	0.659	0.659	0.645	0.617	0.452	0.504	0.452	0.504	0.739
H1217TS145_1__H1217TS264_5	0.469	0.401	0.43	0.36	0.449	0.569	0.544	0.569	0.544	0.673
H1217TS145_3__H1217TS274_1	0.72	0.644	0.714	0.668	0.589	0.732	0.689	0.732	0.689	0.547
H1217TS145_5__H1217TS028_2	0.782	0.689	0.689	0.678	0.595	0.559	0.565	0.559	0.565	0.738
H1217TS145_5__H1217TS419_4	0.656	0.65	0.65	0.628	0.601	0.47	0.482	0.47	0.482	0.705
H1217TS147_3__H1217TS369_4	0.579	0.151	0.151	0.195	0.423	0.364	0.408	0.364	0.408	0.674
H1217TS147_5__H1217TS139_2	0.483	0.572	0.63	0.57	0.518	0.465	0.501	0.465	0.501	0.663
H1217TS148_5__H1217TS304_1	0.765	0.444	0.444	0.49	0.501	0.444	0.291	0.444	0.291	0.683
H1217TS164_2__H1217TS015_5	0.426	0.158	0.158	0.197	0.368	0.506	0.53	0.506	0.53	0.683
H1217TS164_5__H1217TS167_4	0.723	0.729	0.82	0.728	0.643	0.506	0.555	0.506	0.555	0.868
H1217TS167_2__H1217TS388_3	0.537	0.562	0.668	0.58	0.529	0.514	0.544	0.514	0.544	0.629
H1217TS167_4__H1217TS040_3	0.168	0.209	0.376	0.26	0.258	0.329	0.42	0.134	0.193	0.317
H1217TS196_2__H1217TS110_5	0.842	0.285	0.743	0.38	0.248	0.536	0.522	0.536	0.522	0.723
H1217TS196_2__H1217TS494_3	0.647	0.315	0.864	0.401	0.284	0.666	0.774	0.666	0.774	0.571
H1217TS208_3__H1217TS040_4	0.31	0.317	0.349	0.357	0.406	0.285	0.356	0.285	0.356	0.539
H1217TS218_1__H1217TS163_5	0.657	0.744	0.803	0.715	0.669	0.573	0.551	0.525	0.501	0.717
H1217TS219_1__H1217TS331_2	0.505	0.271	0.383	0.255	0.362	0.508	0.23	0.508	0.23	0.676
H1217TS221_2__H1217TS221_3	0.592	0.726	0.726	0.629	0.633	0.518	0.642	0.518	0.642	0.805
H1217TS221_3__H1217TS489_4	0.499	0.53	0.53	0.524	0.521	0.319	0.378	0.319	0.378	0.656
H1217TS261_3__H1217TS219_1	0.222	0.169	0.169	0.155	0.347	0.128	0.145	0.128	0.145	0.352
H1217TS261_3__H1217TS304_2	0.345	0.368	0.368	0.402	0.363	0.177	0.177	0.177	0.177	0.357
H1217TS261_5__H1217TS301_5	0.419	0.371	0.371	0.422	0.397	0.276	0.22	0.276	0.22	0.377
H1217TS264_2__H1217TS286_3	0.508	0.41	0.435	0.367	0.391	0.395	0.356	0.395	0.356	0.722
H1217TS264_6__H1217TS191_2	0.397	0.192	0.277	0.187	0.288	0.408	0.38	0.408	0.38	0.633
H1217TS267_4__H1217TS456_2	0.767	0.337	0.953	0.455	0.312	0.881	0.863	0.881	0.863	0.621
H1217TS272_4__H1217TS425_5	0.742	0.741	0.759	0.779	0.713	0.705	0.723	0.705	0.723	0.734
H1217TS272_5__H1217TS423_1	0.253	0.314	0.783	0.402	0.288	0.474	0.466	0.176	0.187	0.366
H1217TS274_1__H1217TS075_3	0.604	0.606	0.78	0.59	0.464	0.646	0.695	0.646	0.695	0.727
H1217TS284_1__H1217TS014_1	0.564	0.54	0.54	0.552	0.523	0.357	0.381	0.357	0.381	0.665
H1217TS284_4__H1217TS122_1	0.632	0.626	0.626	0.642	0.644	0.462	0.457	0.462	0.457	0.794
H1217TS284_5__H1217TS117_2	0.36	0.51	0.543	0.405	0.481	0.413	0.384	0.413	0.384	0.648
H1217TS286_2__H1217TS015_3	0.158	0.216	0.407	0.255	0.225	0.504	0.587	0.155	0.244	0.275
H1217TS286_3__H1217TS494_5	0.534	0.528	0.663	0.542	0.467	0.586	0.604	0.586	0.604	0.536
H1217TS287_1__H1217TS319_1	0.756	0.347	0.802	0.472	0.329	0.599	0.687	0.599	0.687	0.84
H1217TS287_2__H1217TS262_5	0.571	0.281	0.666	0.359	0.271	0.442	0.422	0.442	0.422	0.795
H1217TS294_1__H1217TS284_1	0.659	0.678	0.678	0.676	0.595	0.467	0.484	0.467	0.484	0.724
H1217TS294_3__H1217TS393_3	0.264	0.295	0.722	0.399	0.305	0.566	0.582	0.182	0.216	0.398
H1217TS294_5__H1217TS419_5	0.608	0.614	0.614	0.582	0.581	0.441	0.47	0.441	0.47	0.705
H1217TS298_4__H1217TS425_1	0.728	0.636	0.687	0.618	0.574	0.52	0.612	0.52	0.612	0.733
H1217TS301_2__H1217TS147_1	0.621	0.668	0.668	0.654	0.596	0.477	0.526	0.477	0.526	0.735
H1217TS301_3__H1217TS425_5	0.568	0.648	0.684	0.656	0.597	0.579	0.586	0.579	0.586	0.752
H1217TS301_4__H1217TS028_5	0.609	0.578	0.578	0.59	0.526	0.451	0.468	0.451	0.468	0.717
H1217TS304_1__H1217TS286_5	0.404	0.469	0.469	0.386	0.441	0.22	0.211	0.22	0.211	0.716
H1217TS304_2__H1217TS040_1	0.16	0.177	0.338	0.222	0.195	0.375	0.429	0.125	0.166	0.273
H1217TS319_1__H1217TS261_1	0.446	0.36	0.438	0.425	0.365	0.438	0.462	0.438	0.462	0.365
H1217TS319_1__H1217TS388_1	0.553	0.638	0.72	0.624	0.608	0.57	0.561	0.57	0.561	0.692
H1217TS319_4__H1217TS286_1	0.405	0.551	0.57	0.444	0.43	0.361	0.378	0.361	0.378	0.716
H1217TS322_2__H1217TS198_5	0.534	0.301	0.301	0.301	0.395	0.398	0.136	0.398	0.136	0.713
H1217TS331_1__H1217TS301_3	0.662	0.688	0.725	0.664	0.65	0.709	0.665	0.709	0.665	0.818
H1217TS345_1__H1217TS393_5	0.297	0.342	0.783	0.439	0.324	0.648	0.687	0.249	0.286	0.4
H1217TS345_5__H1217TS085_1	0.246	0.297	0.836	0.389	0.302	0.644	0.691	0.207	0.245	0.379
H1217TS369_3__H1217TS008_1	0.773	0.668	0.688	0.676	0.662	0.663	0.62	0.663	0.62	0.667
H1217TS369_5__H1217TS075_4	0.669	0.645	0.645	0.614	0.586	0.53	0.529	0.53	0.529	0.717
H1217TS369_5__H1217TS264_2	0.517	0.505	0.53	0.439	0.477	0.564	0.568	0.564	0.568	0.691
H1217TS375_3__H1217TS031_4	0.574	0.641	0.641	0.606	0.603	0.387	0.416	0.387	0.416	0.718
H1217TS388_4__H1217TS148_3	0.723	0.679	0.744	0.653	0.624	0.577	0.659	0.577	0.659	0.71
H1217TS393_3__H1217TS284_4	0.741	0.324	0.695	0.426	0.32	0.528	0.604	0.528	0.604	0.762
H1217TS393_4__H1217TS301_5	0.808	0.345	0.785	0.452	0.329	0.678	0.693	0.678	0.693	0.801
H1217TS393_5__H1217TS218_1	0.643	0.383	0.782	0.477	0.35	0.506	0.576	0.506	0.576	0.787
H1217TS419_1__H1217TS274_4	0.46	0.599	0.715	0.574	0.468	0.515	0.61	0.515	0.61	0.586
H1217TS419_3__H1217TS450_3	0.552	0.591	0.591	0.597	0.561	0.374	0.428	0.374	0.428	0.678
H1217TS423_2__H1217TS014_2	0.792	0.353	0.822	0.421	0.312	0.484	0.506	0.484	0.506	0.668
H1217TS425_5__H1217TS465_2	0.636	0.465	0.636	0.489	0.502	0.632	0.647	0.632	0.647	0.703
H1217TS450_4__H1217TS262_1	0.613	0.558	0.558	0.566	0.488	0.426	0.449	0.426	0.449	0.699
H1217TS450_5__H1217TS022_5	0.555	0.632	0.799	0.67	0.542	0.689	0.691	0.689	0.691	0.609
H1217TS456_3__H1217TS167_5	0.756	0.636	0.824	0.664	0.508	0.693	0.769	0.693	0.769	0.88
H1217TS456_4__H1217TS304_2	0.913	0.771	0.869	0.796	0.741	0.821	0.905	0.821	0.905	0.892
H1217TS456_5__H1217TS274_3	0.694	0.762	0.771	0.735	0.654	0.665	0.757	0.665	0.757	0.661
H1217TS456_5__H1217TS319_3	0.848	0.726	0.875	0.799	0.66	0.749	0.854	0.749	0.854	0.757
H1217TS462_3__H1217TS052_2	0.692	0.731	0.878	0.766	0.616	0.709	0.838	0.709	0.838	0.626
H1217TS462_3__H1217TS117_2	0.447	0.583	0.609	0.463	0.533	0.403	0.464	0.403	0.464	0.688
H1217TS465_1__H1217TS196_4	0.32	0.377	0.797	0.455	0.35	0.593	0.572	0.216	0.236	0.364
H1217TS475_2__H1217TS198_2	0.612	0.336	0.717	0.425	0.294	0.432	0.371	0.432	0.371	0.728
H1217TS489_1__H1217TS163_2	0.634	0.647	0.672	0.645	0.577	0.43	0.318	0.37	0.307	0.685
H1217TS494_1__H1217TS393_1	0.251	0.309	0.868	0.391	0.264	0.72	0.808	0.257	0.28	0.365
H1217TS494_2__H1217TS085_1	0.216	0.275	0.789	0.346	0.268	0.601	0.686	0.215	0.251	0.385
H1220TS008_1__H1220TS171_1	0.353	0.374	0.374	0.362	0.568	0.111	0.168	0.111	0.168	0.731
H1220TS008_2__H1220TS312_2	0.582	0.641	0.641	0.664	0.68	0.284	0.25	0.284	0.25	0.872
H1220TS008_2__H1220TS322_5	0.17	0.325	0.325	0.29	0.59	0.113	0.162	0.113	0.162	0.698
H1220TS008_4__H1220TS294_4	0.453	0.493	0.493	0.523	0.58	0.116	0.185	0.116	0.185	0.703
H1220TS008_5__H1220TS198_5	0.343	0.422	0.422	0.414	0.477	0.107	0.153	0.107	0.153	0.676
H1220TS014_2__H1220TS221_2	0.393	0.382	0.382	0.373	0.436	0.078	0.106	0.078	0.106	0.699
H1220TS014_3__H1220TS272_2	0.62	0.511	0.511	0.515	0.588	0.223	0.289	0.223	0.289	0.767
H1220TS014_6__H1220TS294_2	0.574	0.55	0.55	0.552	0.631	0.161	0.236	0.161	0.236	0.695
H1220TS015_1__H1220TS198_5	0.548	0.52	0.678	0.538	0.5	0.422	0.481	0.422	0.481	0.804
H1220TS015_5__H1220TS059_1	0.629	0.658	0.76	0.714	0.639	0.4	0.534	0.4	0.534	0.796
H1220TS023_2__H1220TS015_4	0.725	0.725	0.798	0.759	0.688	0.357	0.546	0.357	0.546	0.799
H1220TS023_5__H1220TS122_5	0.709	0.535	0.775	0.611	0.487	0.362	0.574	0.362	0.574	0.796
H1220TS028_4__H1220TS290_1	0.608	0.584	0.584	0.591	0.592	0.231	0.281	0.231	0.281	0.869
H1220TS028_4__H1220TS380_4	0.632	0.693	0.693	0.699	0.662	0.213	0.269	0.213	0.269	0.776
H1220TS028_5__H1220TS345_1	0.506	0.554	0.554	0.525	0.635	0.179	0.213	0.179	0.213	0.844
H1220TS031_1__H1220TS419_4	0.788	0.729	0.729	0.724	0.679	0.26	0.315	0.26	0.315	0.866
H1220TS031_3__H1220TS051_3	0.713	0.619	0.619	0.663	0.538	0.224	0.281	0.224	0.281	0.787
H1220TS031_3__H1220TS311_4	0.717	0.622	0.622	0.643	0.552	0.194	0.278	0.194	0.278	0.788
H1220TS040_1__H1220TS425_3	0.03	0.016	0.016	0.011	0.166	0.008	0.009	0.008	0.009	0.68
H1220TS051_4__H1220TS198_2	0.292	0.355	0.355	0.366	0.403	0.067	0.114	0.067	0.114	0.679
H1220TS075_1__H1220TS052_5	0.454	0.505	0.742	0.546	0.537	0.322	0.288	0.322	0.288	0.777
H1220TS075_4__H1220TS419_5	0.487	0.461	0.461	0.518	0.523	0.154	0.164	0.154	0.164	0.809
H1220TS079_1__H1220TS393_1	0.724	0.631	0.631	0.653	0.608	0.213	0.253	0.213	0.253	0.776
H1220TS079_2__H1220TS450_4	0.531	0.556	0.556	0.592	0.525	0.145	0.21	0.145	0.21	0.661
H1220TS079_4__H1220TS294_4	0.504	0.521	0.521	0.539	0.523	0.123	0.211	0.123	0.211	0.676
H1220TS079_5__H1220TS423_4	0.539	0.471	0.471	0.461	0.504	0.144	0.213	0.144	0.213	0.726
H1220TS085_4__H1220TS059_4	0.408	0.467	0.683	0.485	0.444	0.345	0.295	0.345	0.295	0.386
H1220TS091_5__H1220TS267_2	0.492	0.621	0.67	0.673	0.564	0.274	0.364	0.274	0.364	0.768
H1220TS110_5__H1220TS075_5	0.621	0.573	0.573	0.614	0.592	0.185	0.266	0.185	0.266	0.742
H1220TS139_4__H1220TS164_1	0.171	0.158	0.264	0.082	0.295	0.055	0.089	0.055	0.089	0.823
H1220TS145_1__H1220TS393_4	0.389	0.386	0.386	0.401	0.52	0.099	0.135	0.099	0.135	0.723
H1220TS145_2__H1220TS286_4	0.47	0.57	0.57	0.552	0.518	0.165	0.226	0.165	0.226	0.564
H1220TS145_5__H1220TS262_2	0.309	0.288	0.288	0.255	0.344	0.137	0.132	0.137	0.132	0.692
H1220TS147_1__H1220TS014_2	0.335	0.384	0.384	0.355	0.583	0.13	0.17	0.13	0.17	0.737
H1220TS147_1__H1220TS148_5	0.494	0.487	0.487	0.517	0.605	0.17	0.204	0.17	0.204	0.853
H1220TS147_5__H1220TS375_5	0.597	0.639	0.639	0.619	0.657	0.253	0.286	0.253	0.286	0.852
H1220TS148_1__H1220TS489_3	0.68	0.684	0.684	0.721	0.679	0.288	0.337	0.288	0.337	0.887
H1220TS163_4__H1220TS287_5	0.407	0.311	0.311	0.315	0.65	0.103	0.144	0.103	0.144	0.708
H1220TS164_4__H1220TS122_5	0.241	0.188	0.188	0.111	0.346	0.067	0.046	0.067	0.046	0.709
H1220TS164_4__H1220TS241_3	0.201	0.177	0.177	0.076	0.358	0.039	0.036	0.039	0.036	0.715
H1220TS167_3__H1220TS167_1	0.841	0.805	0.805	0.878	0.815	0.753	0.882	0.753	0.882	0.714
H1220TS167_3__H1220TS462_4	0.601	0.56	0.56	0.661	0.552	0.238	0.259	0.238	0.259	0.65
H1220TS171_1__H1220TS494_4	0.401	0.419	0.456	0.436	0.542	0.112	0.151	0.112	0.151	0.804
H1220TS171_2__H1220TS031_2	0.488	0.485	0.485	0.545	0.47	0.117	0.213	0.117	0.213	0.703
H1220TS171_2__H1220TS319_3	0.538	0.433	0.433	0.481	0.505	0.138	0.241	0.138	0.241	0.695
H1220TS171_2__H1220TS489_4	0.457	0.39	0.39	0.443	0.394	0.137	0.185	0.137	0.185	0.486
H1220TS171_5__H1220TS298_4	0.311	0.376	0.376	0.289	0.309	0.177	0.127	0.177	0.127	0.704
H1220TS196_2__H1220TS425_2	0.291	0.286	0.286	0.313	0.461	0.089	0.105	0.089	0.105	0.665
H1220TS196_3__H1220TS284_5	0.417	0.383	0.383	0.437	0.43	0.158	0.149	0.158	0.149	0.675
H1220TS196_5__H1220TS040_5	0.003	0.0	0.0	0.0	0.121	0.004	0.004	0.004	0.004	0.671
H1220TS198_3__H1220TS075_4	0.576	0.438	0.438	0.48	0.49	0.156	0.227	0.156	0.227	0.676
H1220TS204_1__H1220TS261_5	0.372	0.27	0.27	0.295	0.39	0.158	0.161	0.158	0.161	0.684
H1220TS204_3__H1220TS139_4	0.499	0.705	0.76	0.688	0.656	0.348	0.496	0.348	0.496	0.665
H1220TS219_2__H1220TS319_4	0.672	0.379	0.379	0.345	0.579	0.118	0.14	0.118	0.14	0.713
H1220TS219_3__H1220TS322_2	0.665	0.551	0.551	0.561	0.653	0.245	0.219	0.245	0.219	0.817
H1220TS219_4__H1220TS293_4	0.516	0.437	0.437	0.471	0.493	0.11	0.17	0.11	0.17	0.68
H1220TS221_2__H1220TS241_5	0.591	0.552	0.552	0.609	0.51	0.173	0.248	0.173	0.248	0.688
H1220TS221_3__H1220TS304_5	0.51	0.437	0.437	0.486	0.42	0.199	0.19	0.199	0.19	0.667
H1220TS241_1__H1220TS304_5	0.652	0.617	0.617	0.641	0.658	0.204	0.247	0.204	0.247	0.76
H1220TS262_3__H1220TS122_4	0.483	0.455	0.455	0.465	0.573	0.155	0.206	0.155	0.206	0.687
H1220TS264_2__H1220TS380_1	0.51	0.4	0.4	0.456	0.555	0.22	0.222	0.22	0.222	0.687
H1220TS264_3__H1220TS322_3	0.155	0.369	0.369	0.311	0.496	0.121	0.178	0.121	0.178	0.731
H1220TS264_5__H1220TS196_1	0.458	0.398	0.398	0.455	0.429	0.13	0.196	0.13	0.196	0.677
H1220TS272_5__H1220TS139_2	0.283	0.408	0.761	0.447	0.398	0.258	0.392	0.258	0.392	0.645
H1220TS274_1__H1220TS052_2	0.274	0.36	0.945	0.47	0.326	0.674	0.65	0.674	0.65	0.748
H1220TS284_5__H1220TS290_2	0.595	0.556	0.556	0.589	0.663	0.22	0.226	0.22	0.226	0.831
H1220TS284_5__H1220TS419_5	0.584	0.565	0.565	0.613	0.595	0.219	0.223	0.219	0.223	0.853
H1220TS287_5__H1220TS267_3	0.3	0.343	0.343	0.412	0.389	0.067	0.103	0.067	0.103	0.65
H1220TS290_1__H1220TS139_5	0.371	0.501	0.769	0.553	0.485	0.253	0.384	0.253	0.384	0.669
H1220TS290_3__H1220TS393_5	0.687	0.608	0.608	0.67	0.682	0.31	0.329	0.31	0.329	0.863
H1220TS293_3__H1220TS079_1	0.934	0.902	0.902	0.902	0.892	0.427	0.511	0.427	0.511	0.919
H1220TS294_2__H1220TS331_3	0.597	0.518	0.518	0.555	0.62	0.206	0.239	0.206	0.239	0.704
H1220TS294_4__H1220TS456_4	0.55	0.625	0.704	0.632	0.678	0.266	0.332	0.266	0.332	0.685
H1220TS311_1__H1220TS375_2	0.578	0.494	0.494	0.554	0.619	0.186	0.23	0.186	0.23	0.821
H1220TS311_5__H1220TS014_5	0.229	0.358	0.358	0.337	0.553	0.097	0.152	0.097	0.152	0.723
H1220TS312_3__H1220TS163_4	0.293	0.38	0.38	0.378	0.485	0.137	0.187	0.137	0.187	0.703
H1220TS312_4__H1220TS139_3	0.418	0.585	0.789	0.604	0.528	0.276	0.411	0.276	0.411	0.669
H1220TS319_4__H1220TS465_5	0.328	0.351	0.351	0.413	0.508	0.084	0.141	0.084	0.141	0.697
H1220TS319_5__H1220TS319_2	0.747	0.603	0.603	0.646	0.696	0.35	0.348	0.35	0.348	0.879
H1220TS319_5__H1220TS450_4	0.499	0.554	0.554	0.604	0.48	0.121	0.194	0.121	0.194	0.659
H1220TS322_5__H1220TS008_3	0.611	0.309	0.309	0.272	0.559	0.084	0.103	0.084	0.103	0.681
H1220TS345_3__H1220TS117_3	0.389	0.392	0.392	0.378	0.417	0.123	0.175	0.123	0.175	0.686
H1220TS345_4__H1220TS167_4	0.464	0.495	0.495	0.548	0.543	0.103	0.171	0.103	0.171	0.653
H1220TS369_3__H1220TS272_1	0.418	0.327	0.327	0.308	0.469	0.144	0.171	0.144	0.171	0.697
H1220TS375_2__H1220TS462_4	0.571	0.643	0.643	0.624	0.58	0.17	0.214	0.17	0.214	0.798
H1220TS375_3__H1220TS425_5	0.723	0.708	0.708	0.74	0.73	0.338	0.352	0.338	0.352	0.933
H1220TS380_2__H1220TS425_5	0.567	0.46	0.46	0.539	0.634	0.199	0.225	0.199	0.225	0.84
H1220TS388_2__H1220TS091_5	0.759	0.725	0.764	0.718	0.751	0.377	0.547	0.377	0.547	0.789
H1220TS388_2__H1220TS287_4	0.78	0.599	0.841	0.634	0.571	0.377	0.547	0.377	0.547	0.8
H1220TS393_2__H1220TS163_2	0.06	0.172	0.172	0.156	0.393	0.048	0.08	0.048	0.08	0.687
H1220TS393_6__H1220TS298_3	0.4	0.519	0.519	0.521	0.507	0.127	0.186	0.127	0.186	0.689
H1220TS419_1__H1220TS051_5	0.654	0.537	0.537	0.588	0.516	0.192	0.254	0.192	0.254	0.816
H1220TS419_2__H1220TS419_3	0.604	0.521	0.521	0.601	0.704	0.282	0.242	0.282	0.242	0.872
H1220TS450_1__H1220TS298_1	0.499	0.544	0.544	0.563	0.481	0.17	0.259	0.17	0.259	0.664
H1220TS462_3__H1220TS014_6	0.538	0.558	0.558	0.579	0.604	0.201	0.244	0.201	0.244	0.884
H1220TS465_5__H1220TS040_3	0.0	0.0	0.0	0.0	0.149	0.003	0.003	0.003	0.003	0.69
H1220TS475_1__H1220TS204_1	0.474	0.471	0.471	0.514	0.543	0.17	0.183	0.17	0.183	0.837
H1220TS489_5__H1220TS419_2	0.475	0.423	0.423	0.492	0.449	0.138	0.185	0.138	0.185	0.699
H1220TS494_3__H1220TS040_3	0.017	0.014	0.014	0.007	0.159	0.006	0.006	0.006	0.006	0.697
H1220TS494_3__H1220TS369_5	0.19	0.269	0.28	0.201	0.317	0.057	0.094	0.057	0.094	0.687
H1222TS014_4__H1222TS031_5	0.71	0.73	0.73	0.681	0.807	0.322	0.63	0.322	0.63	0.911
H1222TS015_4__H1222TS145_1	0.859	0.916	0.916	0.854	0.889	0.585	0.816	0.585	0.816	0.955
H1222TS022_1__H1222TS462_2	0.651	0.571	0.571	0.553	0.655	0.278	0.489	0.278	0.489	0.922
H1222TS022_2__H1222TS319_2	0.68	0.639	0.639	0.618	0.716	0.313	0.59	0.313	0.59	0.928
H1222TS022_3__H1222TS345_6	0.791	0.753	0.753	0.763	0.888	0.485	0.643	0.485	0.643	0.948
H1222TS023_2__H1222TS015_3	0.813	0.84	0.84	0.798	0.863	0.449	0.513	0.449	0.513	0.772
H1222TS023_3__H1222TS031_5	0.663	0.677	0.677	0.665	0.776	0.263	0.411	0.263	0.411	0.739
H1222TS031_3__H1222TS221_3	0.761	0.577	0.577	0.584	0.725	0.245	0.502	0.245	0.502	0.841
H1222TS052_1__H1222TS300_3	0.589	0.655	0.655	0.563	0.679	0.355	0.514	0.355	0.514	0.935
H1222TS052_1__H1222TS397_5	0.729	0.699	0.699	0.644	0.803	0.35	0.427	0.35	0.427	0.759
H1222TS079_1__H1222TS301_5	0.744	0.632	0.632	0.699	0.761	0.352	0.672	0.352	0.672	0.929
H1222TS085_2__H1222TS312_3	0.73	0.745	0.745	0.719	0.804	0.344	0.582	0.344	0.582	0.911
H1222TS085_3__H1222TS298_3	0.732	0.635	0.635	0.673	0.84	0.372	0.699	0.372	0.699	0.926
H1222TS091_4__H1222TS014_3	0.703	0.608	0.608	0.663	0.776	0.304	0.588	0.304	0.588	0.906
H1222TS091_4__H1222TS345_1	0.65	0.521	0.521	0.518	0.722	0.268	0.538	0.268	0.538	0.907
H1222TS110_3__H1222TS110_2	0.935	0.962	0.962	0.932	0.967	0.833	0.881	0.833	0.881	0.988
