input	target_atoms	model_atoms	total_input_atoms	CADscoreLT_global_score	CADscoreLT_remapped_global_score	CADscoreLT_refseq_global_score	CADscoreLT_iface_score	CADscoreLT_remapped_iface_score	CADscoreLT_refseq_iface_score	CADscoreLT_remapped_global_time	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H1245TS287_2__H1245TS286_4	2594	2594	5188	0.560076	0.560076	0.560076	0.032156	0.032156	0.032156	0.13	0.096	0.107	0.107	0.057	0.231	0.076	0.076	0.076	0.076	0.6
H1245TS287_3__H1245TS014_2	2594	2594	5188	0.726602	0.726602	0.726602	0.012583	0.012583	0.012583	0.15	0.054	0.004	0.004	0.016	0.221	0.037	0.037	0.037	0.037	0.582
H1245TS290_4__H1245TS388_2	2594	2592	5186	0.678118	0.678118	0.678118	0	0	0	0.16	0.057	0.034	0.034	0	0.106	0.023	0.023	0.023	0.023	0.547
H1245TS293_5__H1245TS139_3	2594	2592	5186	0.562822	0.562822	0.562822	0.062957	0.062957	0.062957	0.15	0.1	0.117	0.117	0.111	0.286	0.084	0.084	0.084	0.084	0.543
H1245TS294_2__H1245TS272_1	2594	2592	5186	0.407322	0.407322	0.407322	0	0	0	0.19	0.023	0.004	0.004	0	0.101	0.023	0.023	0.023	0.023	0.295
H1245TS294_3__H1245TS147_5	2594	2594	5188	0.599792	0.599792	0.599792	0.080542	0.080542	0.080542	0.16	0.132	0.094	0.094	0.108	0.261	0.077	0.077	0.077	0.077	0.663
H1245TS294_5__H1245TS300_2	2594	2594	5188	0.24582	0.564353	0.564353	0	0	0	0.15	0	0	0	0	0	0.008	0.008	0.008	0.008	0.408
H1245TS294_5__H1245TS425_3	2594	2594	5188	0.764557	0.764557	0.764557	0.050311	0.050311	0.050311	0.15	0.194	0.202	0.202	0.11	0.524	0.127	0.127	0.127	0.127	0.623
H1245TS298_4__H1245TS022_2	2592	2594	5186	0.629113	0.629113	0.629113	0.002485	0.002485	0.002485	0.15	0.043	0.008	0.008	0	0.261	0.044	0.044	0.044	0.044	0.633
H1245TS298_4__H1245TS380_4	2592	2594	5186	0.647847	0.647847	0.647847	0.005154	0.005154	0.005154	0.17	0.079	0.022	0.022	0.014	0.299	0.036	0.036	0.036	0.036	0.64
H1245TS301_4__H1245TS219_5	2594	2592	5186	0.773502	0.773502	0.773502	0.018627	0.018627	0.018627	0.18	0.026	0.05	0.05	0.027	0.258	0.054	0.054	0.054	0.054	0.629
H1245TS304_4__H1245TS322_3	2594	2592	5186	0.731706	0.731706	0.731706	0	0	0	0.14	0.044	0.002	0.002	0	0.218	0.036	0.036	0.036	0.036	0.617
H1245TS304_5__H1245TS312_1	2594	2594	5188	0.835497	0.835497	0.835497	0.013778	0.013778	0.013778	0.14	0.063	0.059	0.059	0.015	0.303	0.046	0.046	0.046	0.046	0.657
H1245TS311_2__H1245TS171_3	2594	2594	5188	0.655616	0.655616	0.655616	0.094597	0.094597	0.094597	0.16	0.179	0.123	0.123	0.127	0.269	0.101	0.101	0.101	0.101	0.643
H1245TS311_4__H1245TS167_1	2594	2594	5188	0.430516	0.430516	0.430516	0	0	0	0.16	0.041	0.002	0.002	0	0.132	0.016	0.016	0.016	0.016	0.328
H1245TS312_5__H1245TS380_5	2594	2594	5188	0.602969	0.602969	0.602969	0.067013	0.067013	0.067013	0.14	0.155	0.139	0.139	0.074	0.267	0.085	0.085	0.085	0.085	0.619
H1245TS322_2__H1245TS331_1	2592	2594	5186	0.786276	0.786276	0.786276	0.005985	0.005985	0.005985	0.14	0.076	0.005	0.005	0.017	0.202	0.053	0.053	0.053	0.053	0.604
H1245TS322_2__H1245TS423_1	2592	2592	5184	0.695037	0.695037	0.695037	0.018264	0.018264	0.018264	0.14	0.05	0.06	0.06	0.031	0.238	0.06	0.06	0.06	0.06	0.642
H1245TS322_3__H1245TS015_2	2592	2594	5186	0.713781	0.713781	0.713781	0	0	0	0.17	0	0	0	0	0	0.009	0.009	0.009	0.009	0.559
H1245TS323_1__H1245TS014_3	2594	2594	5188	0.738724	0.738724	0.738724	0	0	0	0.15	0.051	0.004	0.004	0	0.211	0.029	0.029	0.029	0.029	0.58
H1245TS331_4__H1245TS262_1	2594	2592	5186	0.730007	0.730007	0.730007	0.01607	0.01607	0.01607	0.15	0.062	0.015	0.015	0.029	0.231	0.045	0.045	0.045	0.045	0.617
H1245TS345_1__H1245TS148_4	2594	2594	5188	0.372949	0.372949	0.372949	0.052462	0.052462	0.052462	0.15	0.112	0.086	0.086	0.058	0.301	0.055	0.055	0.055	0.055	0.583
H1245TS345_3__H1245TS148_3	2594	2594	5188	0.768749	0.768749	0.768749	0.238432	0.238432	0.238432	0.16	0.412	0.588	0.588	0.367	0.615	0.235	0.235	0.235	0.235	0.784
H1245TS345_4__H1245TS031_1	2594	2592	5186	0.124774	0.776215	0.776215	0	0.28549	0.28549	0.14	0.357	0.55	0.55	0.336	0.662	0.395	0.395	0.395	0.395	0.848
H1245TS345_6__H1245TS051_1	2594	2594	5188	0.784243	0.784243	0.784243	0.429162	0.429162	0.429162	0.16	0.518	0.748	0.748	0.538	0.721	0.485	0.485	0.485	0.485	0.872
H1245TS375_2__H1245TS051_2	2594	2594	5188	0.769438	0.769438	0.769438	0.00312	0.00312	0.00312	0.15	0.081	0.043	0.043	0.03	0.247	0.043	0.043	0.043	0.043	0.63
H1245TS375_5__H1245TS040_4	2594	2594	5188	0.599496	0.599496	0.599496	0	0	0	0.16	0.043	0.003	0.003	0	0.233	0.033	0.033	0.033	0.033	0.581
H1245TS393_6__H1245TS293_3	2594	2594	5188	0.63014	0.63014	0.63014	0.000457	0.000457	0.000457	0.16	0.08	0.038	0.038	0	0.341	0.063	0.063	0.063	0.063	0.623
H1245TS423_5__H1245TS319_1	2592	2594	5186	0.646814	0.646814	0.646814	0.019386	0.019386	0.019386	0.17	0.085	0.087	0.087	0.028	0.378	0.049	0.049	0.049	0.049	0.672
H1245TS425_3__H1245TS079_3	2594	2594	5188	0.624801	0.624801	0.624801	0.00021	0.00021	0.00021	0.16	0.057	0.032	0.032	0.011	0.333	0.047	0.047	0.047	0.047	0.664
H1245TS450_1__H1245TS040_2	2594	2594	5188	0.411291	0.411291	0.411291	0.005775	0.005775	0.005775	0.16	0.027	0.019	0.019	0.008	0.208	0.02	0.02	0.02	0.02	0.343
H1245TS450_4__H1245TS139_6	2594	2592	5186	0.384342	0.384342	0.384342	0	0	0	0.14	0.038	0.009	0.009	0	0.123	0.037	0.037	0.037	0.037	0.351
H1245TS450_4__H1245TS425_1	2594	2594	5188	0.393578	0.393578	0.393578	0	0	0	0.14	0.022	0.006	0.006	0	0.108	0.026	0.026	0.026	0.026	0.358
H1245TS456_3__H1245TS423_5	2594	2592	5186	0.627167	0.627167	0.627167	0.020525	0.020525	0.020525	0.17	0.039	0.124	0.124	0.037	0.368	0.062	0.062	0.062	0.062	0.651
H1245TS456_4__H1245TS290_4	2594	2594	5188	0.761888	0.761888	0.761888	0.013106	0.013106	0.013106	0.14	0.083	0.1	0.1	0.041	0.309	0.053	0.053	0.053	0.053	0.605
H1245TS456_4__H1245TS375_1	2594	2594	5188	0.772053	0.772053	0.772053	0.22687	0.22687	0.22687	0.16	0.394	0.585	0.585	0.31	0.64	0.384	0.384	0.384	0.384	0.865
H1245TS462_1__H1245TS304_3	2594	2594	5188	0.774867	0.774867	0.774867	0.093268	0.093268	0.093268	0.15	0.273	0.486	0.486	0.198	0.485	0.197	0.197	0.197	0.197	0.795
H1245TS462_4__H1245TS311_1	2594	2594	5188	0.630157	0.630157	0.630157	0.009087	0.009087	0.009087	0.15	0.092	0.116	0.116	0.075	0.289	0.052	0.052	0.052	0.052	0.638
H1245TS462_6__H1245TS388_2	2592	2592	5184	0.629145	0.629145	0.629145	0	0	0	0.15	0.048	0.002	0.002	0	0.24	0.045	0.045	0.045	0.045	0.581
H1245TS468_4__H1245TS079_5	2592	2594	5186	0.651104	0.651104	0.651104	0.001128	0.001128	0.001128	0.15	0.061	0.024	0.024	0.012	0.424	0.04	0.04	0.04	0.04	0.62
H1245TS475_5__H1245TS456_2	2594	2594	5188	0.767733	0.767733	0.767733	0.272277	0.272277	0.272277	0.15	0.412	0.604	0.604	0.351	0.653	0.28	0.28	0.28	0.28	0.812
H1245TS489_2__H1245TS208_1	2592	2594	5186	0.670106	0.670106	0.670106	0.038134	0.038134	0.038134	0.16	0.134	0.027	0.027	0.024	0.19	0.078	0.078	0.078	0.078	0.603
H1245TS489_4__H1245TS337_5	2594	2594	5188	0.261984	0.555584	0.555584	0	0	0	0.14	0	0	0	0	0	0.007	0.007	0.007	0.007	0.397
H1258TS015_5__H1258TS274_5	9922	24607	34529	0.165146	0.779623	0.779623	0	0.211685	0.2109	1.21	0.384	0.127	0.19	0.192	0.208	0.193	0.109	0.193	0.109	0.486
H1258TS023_3__H1258TS272_3	22649	24619	47268	0.927248	0.927248	0.927248	0.74108	0.74108	0.74108	1.57	0.631	0.181	0.549	0.285	0.215	0.329	0.832	0.329	0.832	0.824
H1258TS023_5__H1258TS015_2	24614	9922	34536	0.062554	0.320379	0.320378	0	0.226981	0.226981	1.17	0.246	0.087	0.112	0.152	0.211	0.372	0.346	0.372	0.346	0.214
H1258TS031_3__H1258TS267_1	24619	24622	49241	0.098175	0.839933	0.839933	0	0.206171	0.206171	1.55	0.272	0.243	0.243	0.347	0.267	0.229	0.181	0.229	0.181	0.743
H1258TS031_5__H1258TS051_2	24619	24622	49241	0.099001	0.839622	0.839622	0	0.22668	0.22668	1.6	0.314	0.291	0.291	0.269	0.496	0.258	0.192	0.258	0.192	0.772
H1258TS040_5__H1258TS345_6	24622	24619	49241	0.676646	0.676646	0.676646	0	0	0	1.65	0	0	0	0	0.05	0.002	0.001	0.002	0.001	0.412
H1258TS051_2__H1258TS322_1	24622	24619	49241	0.83001	0.83001	0.83001	0.229769	0.229769	0.229769	1.6	0.229	0.249	0.249	0.253	0.41	0.234	0.19	0.234	0.19	0.698
H1258TS051_4__H1258TS147_4	24622	24622	49244	0.894343	0.896098	0.894343	0.228475	0.323402	0.228475	1.64	0.331	0.305	0.305	0.404	0.406	0.304	0.254	0.304	0.254	0.798
H1258TS051_5__H1258TS040_3	24619	24622	49241	0.696489	0.696489	0.696489	0	0	0	1.62	0	0	0	0	0.031	0.004	0.004	0.004	0.004	0.407
H1258TS051_5__H1258TS301_4	24619	24622	49241	0.85046	0.850665	0.85046	0.196403	0.220071	0.196403	1.59	0.319	0.355	0.355	0.265	0.636	0.259	0.192	0.259	0.192	0.795
H1258TS052_5__H1258TS171_3	22649	24619	47268	0.913097	0.913097	0.913097	0.390657	0.390657	0.390657	1.57	0.409	0.185	0.417	0.276	0.234	0.323	0.438	0.323	0.438	0.833
H1258TS059_1__H1258TS462_2	21577	24622	46199	0.724104	0.724109	0.724104	0	0	0	1.53	0.022	0.003	0.006	0	0.015	0.009	0.008	0.009	0.008	0.743
H1258TS059_4__H1258TS375_3	23146	24622	47768	0.750419	0.750526	0.750419	0.518124	0.518124	0.518124	1.57	0.587	0.213	0.47	0.322	0.203	0.42	0.661	0.42	0.661	0.615
H1258TS059_5__H1258TS219_5	23146	24619	47765	0.733535	0.733684	0.733535	0.297628	0.297628	0.297628	1.54	0.262	0.194	0.511	0.19	0.197	0.143	0.319	0.143	0.319	0.534
H1258TS079_2__H1258TS301_2	24619	24622	49241	0.831532	0.831598	0.831532	0.136178	0.136178	0.136178	1.65	0.188	0.13	0.13	0.2	0.187	0.194	0.087	0.194	0.087	0.771
H1258TS079_4__H1258TS079_2	24619	24619	49238	0.943317	0.943317	0.943317	0.729205	0.729205	0.729205	1.6	0.798	0.518	0.518	0.584	0.57	0.501	0.445	0.501	0.445	0.815
H1258TS091_1__H1258TS164_2	24622	24619	49241	0.794211	0.796265	0.794211	0.194123	0.300922	0.194123	1.62	0.358	0.537	0.537	0.447	0.523	0.293	0.258	0.293	0.258	0.73
H1258TS091_2__H1258TS311_3	24622	24622	49244	0.824095	0.824095	0.824095	0.503172	0.503172	0.503172	1.63	0.551	0.611	0.611	0.588	0.608	0.461	0.428	0.461	0.428	0.913
H1258TS091_2__H1258TS423_1	24622	24619	49241	0.782646	0.785549	0.782646	0.179233	0.331435	0.179233	1.62	0.307	0.443	0.443	0.461	0.524	0.289	0.248	0.289	0.248	0.776
H1258TS091_3__H1258TS319_1	24622	24622	49244	0.825378	0.825821	0.825378	0.240028	0.268919	0.240028	1.62	0.332	0.384	0.384	0.356	0.528	0.26	0.189	0.26	0.189	0.934
H1258TS091_4__H1258TS059_2	24622	23146	47768	0.669211	0.669487	0.669211	0.171759	0.173115	0.171759	1.64	0.181	0.227	0.433	0.275	0.245	0.191	0.156	0.191	0.156	0.577
H1258TS110_4__H1258TS319_4	24622	24622	49244	0.864751	0.865823	0.864751	0.187659	0.252282	0.187659	1.66	0.308	0.272	0.272	0.27	0.431	0.252	0.193	0.252	0.193	0.86
H1258TS122_1__H1258TS110_4	24622	24622	49244	0.888949	0.888949	0.888949	0.367138	0.367138	0.367138	1.61	0.396	0.384	0.384	0.419	0.541	0.305	0.261	0.305	0.261	0.8
H1258TS122_4__H1258TS110_2	24622	24622	49244	0.886133	0.886182	0.886133	0.234847	0.234847	0.234847	1.61	0.256	0.135	0.135	0.207	0.272	0.219	0.146	0.219	0.146	0.791
H1258TS139_1__H1258TS456_4	21577	22649	44226	0.719012	0.719012	0.719012	0	0	0	1.45	0.005	0	0	0	0.022	0.009	0.009	0.009	0.009	0.714
H1258TS139_3__H1258TS164_1	23146	24619	47765	0.775371	0.775479	0.775371	0.63834	0.63834	0.63834	1.56	0.559	0.277	0.879	0.434	0.298	0.237	0.631	0.237	0.631	0.54
H1258TS139_5__H1258TS015_4	23146	18311	41457	0.059629	0.538204	0.538204	0	0.149961	0.149961	1.37	0.168	0.055	0.097	0.037	0.091	0.135	0.235	0.135	0.235	0.342
H1258TS145_1__H1258TS208_2	24622	24622	49244	0.829739	0.830167	0.829739	0.230932	0.235705	0.230932	1.16	0.257	0.186	0.186	0.284	0.414	0.263	0.227	0.263	0.227	0.715
H1258TS147_1__H1258TS023_1	24622	22649	47271	0.82812	0.828161	0.82812	0.184971	0.1851	0.184971	1.57	0.18	0.19	0.385	0.286	0.265	0.33	0.212	0.33	0.212	0.743
H1258TS148_1__H1258TS015_5	24622	9922	34544	0.070972	0.331206	0.331152	0	0.463402	0.463402	1.13	0.436	0.166	0.186	0.259	0.27	0.46	0.547	0.46	0.547	0.213
H1258TS148_3__H1258TS075_5	24622	24622	49244	0.899326	0.899494	0.899326	0.242962	0.242962	0.242962	1.63	0.317	0.143	0.143	0.224	0.294	0.298	0.222	0.298	0.222	0.796
H1258TS148_5__H1258TS196_3	24622	24622	49244	0.746888	0.746888	0.746888	0.463556	0.465741	0.463556	1.61	0.431	0.217	0.217	0.334	0.261	0.281	0.488	0.281	0.488	0.373
H1258TS163_3__H1258TS462_2	24619	24622	49241	0.870104	0.870221	0.870104	0.104161	0.104161	0.104161	1.62	0.254	0.129	0.129	0.105	0.234	0.187	0.11	0.187	0.11	0.776
H1258TS164_1__H1258TS219_4	24619	24619	49238	0.824208	0.824208	0.824208	0.594162	0.594162	0.594162	1.58	0.579	0.376	0.376	0.402	0.424	0.447	0.429	0.447	0.429	0.558
H1258TS164_4__H1258TS301_4	24619	24622	49241	0.848599	0.849266	0.848599	0.250788	0.316133	0.250788	1.64	0.428	0.398	0.398	0.34	0.526	0.289	0.244	0.289	0.244	0.713
H1258TS164_5__H1258TS304_5	24619	24622	49241	0.840031	0.840031	0.840031	0.20824	0.20824	0.20824	1.58	0.38	0.23	0.23	0.232	0.346	0.276	0.194	0.276	0.194	0.711
H1258TS167_2__H1258TS450_1	24622	24622	49244	1	1	1	1	1	1	1.62	1	1	1	1	1	1	1	1	1	1
H1258TS167_3__H1258TS164_1	24622	24619	49241	0.602791	0.602998	0.602791	0.117102	0.118143	0.117102	1.66	0.128	0.125	0.125	0.152	0.307	0.082	0.069	0.082	0.069	0.382
H1258TS191_1__H1258TS272_2	24024	24619	48643	0.909126	0.909126	0.909126	0.21265	0.21403	0.21265	1.63	0.235	0.127	0.139	0.178	0.291	0.296	0.193	0.296	0.193	0.808
H1258TS196_1__H1258TS031_3	24622	24619	49241	0.087254	0.704464	0.704464	0	0.06991	0.06991	1.65	0.081	0.044	0.044	0.073	0.171	0.224	0.048	0.224	0.048	0.341
H1258TS219_2__H1258TS286_3	24619	24622	49241	0.797828	0.802427	0.797828	0.193553	0.49676	0.193553	1.61	0.582	0.617	0.617	0.602	0.51	0.3	0.273	0.3	0.273	0.679
H1258TS219_3__H1258TS264_6	24619	24622	49241	0.822969	0.82305	0.822969	0.178702	0.179379	0.178702	1.64	0.233	0.223	0.223	0.322	0.242	0.227	0.183	0.227	0.183	0.645
H1258TS219_5__H1258TS304_3	24619	24622	49241	0.822708	0.82272	0.822708	0.123983	0.128359	0.123983	1.62	0.208	0.183	0.183	0.198	0.215	0.201	0.112	0.201	0.112	0.614
H1258TS221_5__H1258TS051_4	24622	24622	49244	0.822486	0.822486	0.822486	0.250638	0.250638	0.250638	1.65	0.278	0.293	0.293	0.303	0.427	0.29	0.221	0.29	0.221	0.77
H1258TS241_5__H1258TS122_4	24622	24622	49244	0.904465	0.904465	0.904465	0.396685	0.396685	0.396685	1.63	0.362	0.206	0.206	0.303	0.326	0.252	0.378	0.252	0.378	0.785
H1258TS261_3__H1258TS110_5	24619	24622	49241	0.739991	0.740352	0.739991	0.131155	0.140863	0.131155	1.63	0.172	0.177	0.177	0.207	0.338	0.148	0.121	0.148	0.121	0.75
H1258TS262_2__H1258TS423_5	24619	24619	49238	0.794876	0.794876	0.794876	0.201587	0.201587	0.201587	1.61	0.173	0.179	0.179	0.19	0.281	0.145	0.152	0.145	0.152	0.739
H1258TS264_2__H1258TS319_3	24622	24622	49244	0.894542	0.894542	0.894542	0.414678	0.414678	0.414678	1.64	0.455	0.503	0.503	0.495	0.533	0.406	0.343	0.406	0.343	0.783
H1258TS264_2__H1258TS331_3	24622	24622	49244	0.898142	0.898142	0.898142	0.351718	0.351718	0.351718	1.59	0.382	0.359	0.359	0.417	0.566	0.403	0.325	0.403	0.325	0.827
H1258TS264_4__H1258TS015_5	24622	9922	34544	0.070744	0.328765	0.328431	0	0.239032	0.237787	1.13	0.305	0.122	0.182	0.202	0.276	0.382	0.382	0.382	0.382	0.216
H1258TS264_4__H1258TS051_3	24622	24622	49244	0.906544	0.908328	0.906544	0.245261	0.336077	0.245261	1.61	0.458	0.274	0.274	0.347	0.419	0.466	0.416	0.466	0.416	0.924
H1258TS264_4__H1258TS075_4	24622	24622	49244	0.897344	0.897344	0.897344	0.247554	0.247554	0.247554	1.64	0.346	0.189	0.189	0.253	0.388	0.289	0.215	0.289	0.215	0.78
H1258TS264_5__H1258TS051_2	24622	24622	49244	0.917861	0.917861	0.917861	0.649891	0.649891	0.649891	1.59	0.646	0.362	0.362	0.446	0.326	0.482	0.643	0.482	0.643	0.906
H1258TS267_4__H1258TS388_4	24622	23146	47768	0.707977	0.707977	0.707977	0.698693	0.698693	0.698693	1.54	0.7	0.624	0.624	0.752	0.661	0.619	0.619	0.619	0.619	0.536
H1258TS272_4__H1258TS022_5	24619	24622	49241	0.129437	0.892844	0.892844	0	0.449742	0.449742	1.63	0.501	0.534	0.534	0.511	0.553	0.397	0.356	0.397	0.356	0.772
H1258TS272_4__H1258TS425_2	24619	24622	49241	0.906934	0.910457	0.906934	0.270299	0.479505	0.270299	1.64	0.527	0.557	0.557	0.541	0.541	0.384	0.347	0.384	0.347	0.81
H1258TS286_3__H1258TS312_3	24622	24622	49244	0.822485	0.822495	0.822485	0.198491	0.200781	0.198491	1.66	0.221	0.192	0.192	0.239	0.361	0.275	0.188	0.275	0.188	0.785
H1258TS286_5__H1258TS323_1	24622	24622	49244	0.826093	0.826093	0.826093	0.197155	0.197155	0.197155	1.61	0.198	0.212	0.212	0.342	0.265	0.3	0.211	0.3	0.211	0.778
H1258TS287_1__H1258TS311_1	24622	24622	49244	0.90477	0.90477	0.90477	0.578638	0.578638	0.578638	1.61	0.567	0.659	0.659	0.647	0.598	0.393	0.36	0.393	0.36	0.806
H1258TS287_5__H1258TS267_2	24622	24622	49244	0.820412	0.820412	0.820412	0.342208	0.342258	0.342208	1.57	0.271	0.458	0.458	0.52	0.35	0.202	0.277	0.202	0.277	0.699
H1258TS294_3__H1258TS298_4	24622	24622	49244	0.875649	0.876126	0.875649	0.209526	0.236636	0.209526	1.63	0.256	0.176	0.176	0.25	0.534	0.173	0.135	0.173	0.135	0.787
H1258TS294_3__H1258TS450_5	24622	24622	49244	0.881652	0.881652	0.881652	0.202603	0.202603	0.202603	1.59	0.228	0.228	0.228	0.32	0.261	0.162	0.122	0.162	0.122	0.795
H1258TS294_5__H1258TS388_3	24622	23146	47768	0.705049	0.705374	0.705049	0.185367	0.185367	0.185367	1.58	0.195	0.23	0.87	0.349	0.233	0.219	0.172	0.219	0.172	0.559
H1258TS298_3__H1258TS462_2	24622	24622	49244	0.898121	0.898121	0.898121	0.332163	0.332163	0.332163	1.59	0.349	0.288	0.288	0.338	0.371	0.269	0.239	0.269	0.239	0.793
H1258TS301_1__H1258TS147_4	24622	24622	49244	0.886748	0.886748	0.886748	0.247144	0.247144	0.247144	1.65	0.286	0.187	0.187	0.258	0.311	0.214	0.153	0.214	0.153	0.826
H1258TS301_2__H1258TS262_4	24622	24619	49241	0.833803	0.834776	0.833803	0.447287	0.539898	0.447287	1.6	0.518	0.323	0.323	0.413	0.341	0.239	0.314	0.239	0.314	0.862
H1258TS304_5__H1258TS075_4	24622	24622	49244	0.893822	0.893951	0.893822	0.265838	0.274539	0.265838	1.59	0.295	0.243	0.243	0.307	0.408	0.275	0.24	0.275	0.24	0.769
H1258TS311_3__H1258TS319_1	24622	24622	49244	0.900464	0.902367	0.900464	0.19755	0.295329	0.19755	1.62	0.321	0.361	0.361	0.399	0.498	0.324	0.232	0.324	0.232	0.775
H1258TS311_3__H1258TS465_5	24622	24619	49241	0.765027	0.765027	0.765027	0.040183	0.040183	0.040183	1.62	0.05	0.078	0.078	0.038	0.112	0.109	0.071	0.109	0.071	0.516
H1258TS312_1__H1258TS423_5	24622	24619	49241	0.841016	0.841016	0.841016	0.348492	0.348492	0.348492	1.61	0.257	0.154	0.154	0.205	0.196	0.22	0.324	0.22	0.324	0.785
H1258TS312_5__H1258TS022_3	24622	24168	48790	0.12579	0.905615	0.905457	0	0.493009	0.491284	1.6	0.459	0.224	0.224	0.324	0.235	0.25	0.427	0.25	0.427	0.792
H1258TS319_2__H1258TS311_1	24622	24622	49244	0.900387	0.905552	0.900387	0.228868	0.486654	0.228868	1.61	0.553	0.621	0.621	0.594	0.5	0.415	0.362	0.415	0.362	0.781
H1258TS319_2__H1258TS388_2	24622	23146	47768	0.67927	0.67927	0.67927	0.159133	0.160218	0.159133	1.6	0.177	0.217	0.43	0.267	0.223	0.209	0.164	0.209	0.164	0.557
H1258TS322_4__H1258TS014_5	24619	24622	49241	0.791077	0.791077	0.791077	0.149801	0.149801	0.149801	1.6	0.345	0.253	0.253	0.197	0.42	0.264	0.104	0.264	0.104	0.695
H1258TS331_2__H1258TS267_2	24622	24622	49244	0.823652	0.823701	0.823652	0.191438	0.191438	0.191438	1.57	0.14	0.234	0.234	0.318	0.214	0.192	0.151	0.192	0.151	0.703
H1258TS345_1__H1258TS312_5	24622	24622	49244	0.9094	0.9094	0.9094	0.298034	0.298034	0.298034	1.58	0.321	0.362	0.362	0.446	0.326	0.424	0.381	0.424	0.381	0.906
H1258TS369_5__H1258TS167_4	24619	24622	49241	0.562764	0.563414	0.562764	0.266217	0.302016	0.266217	1.63	0.367	0.137	0.137	0.182	0.162	0.137	0.214	0.137	0.214	0.32
H1258TS369_5__H1258TS345_1	24619	24622	49241	0.879339	0.879623	0.879339	0.350226	0.395817	0.350226	1.59	0.533	0.236	0.236	0.303	0.203	0.224	0.324	0.224	0.324	0.779
H1258TS388_5__H1258TS147_1	23146	24622	47768	0.741615	0.741618	0.741615	0.517031	0.517031	0.517031	1.6	0.43	0.219	0.417	0.262	0.199	0.22	0.496	0.22	0.496	0.584
H1258TS388_5__H1258TS345_4	23146	24622	47768	0.748428	0.748706	0.748428	0.490923	0.494253	0.490923	1.56	0.431	0.262	0.524	0.311	0.207	0.236	0.521	0.236	0.521	0.628
H1258TS393_5__H1258TS262_3	24622	24619	49241	0.841523	0.842475	0.841523	0.403004	0.483674	0.403004	1.63	0.572	0.456	0.456	0.473	0.416	0.413	0.468	0.413	0.468	0.908
H1258TS393_5__H1258TS369_4	24622	24619	49241	0.882774	0.882866	0.882774	0.0466	0.047233	0.0466	1.63	0.077	0.088	0.088	0.066	0.181	0.073	0.107	0.073	0.107	0.803
H1258TS393_6__H1258TS369_2	24622	24619	49241	0.895503	0.895503	0.895503	0.376307	0.377151	0.376307	1.57	0.293	0.385	0.385	0.366	0.312	0.18	0.317	0.18	0.317	0.805
H1258TS419_1__H1258TS345_4	24622	24622	49244	0.828249	0.828249	0.828249	0.276419	0.276419	0.276419	1.61	0.31	0.312	0.312	0.308	0.42	0.283	0.221	0.283	0.221	0.777
H1258TS419_3__H1258TS375_2	24622	24622	49244	0.828402	0.828402	0.828402	0.244673	0.244673	0.244673	1.63	0.316	0.367	0.367	0.294	0.517	0.296	0.208	0.296	0.208	0.787
H1258TS419_4__H1258TS301_5	24622	24622	49244	0.822192	0.822192	0.822192	0.278113	0.278113	0.278113	1.65	0.327	0.286	0.286	0.295	0.448	0.274	0.212	0.274	0.212	0.8
H1258TS419_5__H1258TS014_6	24622	24622	49244	0.78759	0.78759	0.78759	0.443077	0.443077	0.443077	1.64	0.445	0.637	0.637	0.638	0.598	0.347	0.304	0.347	0.304	0.772
H1258TS423_1__H1258TS274_5	24619	24607	49226	0.790824	0.794462	0.790824	0.182379	0.424993	0.182379	1.64	0.568	0.625	0.647	0.56	0.596	0.321	0.282	0.321	0.282	0.789
H1258TS425_2__H1258TS091_1	24622	24622	49244	0.835904	0.835904	0.835904	0.360298	0.360298	0.360298	1.64	0.437	0.533	0.533	0.497	0.511	0.4	0.314	0.4	0.314	0.774
H1258TS450_3__H1258TS091_3	24622	24622	49244	0.599344	0.60008	0.599344	0	0	0	1.62	0	0	0	0	0.071	0.004	0.003	0.004	0.003	0.374
H1258TS456_5__H1258TS284_4	22649	24622	47271	0.923568	0.923738	0.923568	0.515942	0.515942	0.515942	1.56	0.473	0.266	0.528	0.354	0.254	0.323	0.52	0.323	0.52	0.799
H1258TS456_5__H1258TS456_3	22649	22649	45298	0.945462	0.945462	0.945462	0.663509	0.663509	0.663509	1.49	0.684	0.866	0.866	0.802	0.725	0.511	0.731	0.511	0.731	0.938
H1258TS465_1__H1258TS284_5	24619	24622	49241	0.788442	0.788442	0.788442	0.184934	0.184934	0.184934	1.6	0.245	0.132	0.132	0.187	0.332	0.152	0.109	0.152	0.109	0.415
H1258TS475_1__H1258TS286_1	24622	24622	49244	0.828957	0.828957	0.828957	0.220043	0.220043	0.220043	1.6	0.24	0.147	0.147	0.215	0.291	0.181	0.121	0.181	0.121	0.794
H1258TS475_1__H1258TS462_3	24622	24622	49244	0.884853	0.885167	0.884853	0.228903	0.245725	0.228903	1.64	0.298	0.196	0.196	0.236	0.343	0.202	0.152	0.202	0.152	0.845
H1258TS475_2__H1258TS264_1	24622	24622	49244	0.905846	0.905846	0.905846	0.55742	0.55742	0.55742	1.56	0.575	0.716	0.716	0.655	0.587	0.323	0.403	0.323	0.403	0.91
