model	rmsd
model_1u1b_ligand.cif	0.00
model_1uto_10.cif	3.15
model_1uto_203.cif	1.76
model_1uto_24.cif	1.49
model_1uto_290.cif	2.23
model_1uto_36.cif	3.57
model_1uto_414.cif	4.25
model_1uto_428.cif	0.71
model_1uto_451.cif	2.06
model_1uto_494.cif	3.09
model_1uto_495.cif	2.18
model_1uto_521.cif	2.91
model_1uto_547.cif	2.19
model_1uto_549.cif	1.90
model_1uto_563.cif	3.21
model_1uto_564.cif	3.10
model_1uto_569.cif	2.78
model_1uto_577.cif	2.56
model_1uto_580.cif	2.55
model_1uto_593.cif	1.85
model_1uto_594.cif	3.07
model_1uto_640.cif	1.46
model_1uto_686.cif	1.72
model_1uto_688.cif	2.64
model_1uto_698.cif	3.36
model_1uto_738.cif	3.42
model_1uto_743.cif	1.48
model_1uto_752.cif	5.75
model_1uto_757.cif	5.77
model_1uto_762.cif	4.38
model_1uto_765.cif	5.67
model_1uto_768.cif	5.59
model_1uto_770.cif	5.48
model_1uto_772.cif	5.54
model_1uto_774.cif	3.99
model_1uto_775.cif	5.47
model_1uto_777.cif	4.03
model_1uto_783.cif	5.34
model_1uto_784.cif	4.49
model_1uto_785.cif	5.00
model_1uto_786.cif	4.42
model_1uto_789.cif	2.46
model_1uto_790.cif	5.03
model_1uto_791.cif	5.47
model_1uto_792.cif	4.24
model_1uto_823.cif	4.05
model_1uto_826.cif	0.77
model_1uto_834.cif	0.67
model_1uto_837.cif	0.72
model_1uto_841.cif	0.74
model_1uto_877.cif	4.72
model_1uto_878.cif	1.93
model_1uto_885.cif	4.02
model_1uto_887.cif	3.43
model_1uto_918.cif	1.59
model_1uto_962.cif	0.74
model_1uto_965.cif	0.68
model_1uto_966.cif	0.91
model_1uto_971.cif	1.80
model_1uto_972.cif	0.70
model_1uto_991.cif	0.81
model_1uto_ligand.cif	0.00
model_1vso_115.cif	0.67
model_1vso_174.cif	1.07
model_1vso_198.cif	0.58
model_1vso_214.cif	1.10
model_1vso_219.cif	2.88
model_1vso_243.cif	0.30
model_1vso_254.cif	0.99
model_1vso_273.cif	0.96
model_1vso_301.cif	0.60
model_1vso_310.cif	0.84
model_1vso_358.cif	1.65
model_1vso_363.cif	1.00
model_1vso_378.cif	1.24
model_1vso_379.cif	3.50
model_1vso_392.cif	1.29
model_1vso_401.cif	2.14
model_1vso_407.cif	3.53
model_1vso_424.cif	1.92
model_1vso_433.cif	3.05
model_1vso_436.cif	2.93
model_1vso_439.cif	2.24
model_1vso_444.cif	4.43
model_1vso_445.cif	6.19
model_1vso_449.cif	2.28
model_1vso_461.cif	6.16
model_1vso_470.cif	3.04
model_1vso_487.cif	2.75
model_1vso_493.cif	4.80
model_1vso_494.cif	4.18
model_1vso_496.cif	6.20
model_1vso_497.cif	4.67
model_1vso_501.cif	2.34
model_1vso_516.cif	3.87
model_1vso_522.cif	6.81
model_1vso_545.cif	3.94
model_1vso_547.cif	6.17
model_1vso_549.cif	5.22
model_1vso_557.cif	5.30
model_1vso_558.cif	5.66
model_1vso_571.cif	4.36
model_1vso_573.cif	5.83
model_1vso_575.cif	2.90
model_1vso_577.cif	4.66
model_1vso_579.cif	6.50
model_1vso_580.cif	7.11
model_1vso_581.cif	3.25
model_1vso_585.cif	6.29
model_1vso_596.cif	3.62
model_1vso_597.cif	4.40
model_1vso_609.cif	4.41
model_1vso_617.cif	5.58
model_1vso_618.cif	2.80
model_1vso_624.cif	3.39
model_1vso_630.cif	5.68
model_1vso_631.cif	5.59
model_1vso_636.cif	5.06
model_1vso_642.cif	7.00
model_1vso_644.cif	3.03
model_1vso_677.cif	5.88
model_1vso_685.cif	6.39
model_1vso_732.cif	4.22
model_1vso_74.cif	0.67
model_1vso_753.cif	6.59
model_1vso_838.cif	4.53
model_1vso_840.cif	5.20
model_1vso_850.cif	1.49
model_1vso_910.cif	0.76
model_1vso_954.cif	1.57
model_1vso_957.cif	2.41
model_1vso_963.cif	1.99
model_1vso_978.cif	1.35
model_1vso_ligand.cif	0.00
model_1w4o_101.cif	6.92
model_1w4o_119.cif	3.59
model_1w4o_170.cif	6.59
model_1w4o_178.cif	7.64
model_1w4o_194.cif	3.05
model_1w4o_200.cif	6.98
model_1w4o_246.cif	0.91
model_1w4o_273.cif	0.68
model_1w4o_274.cif	0.82
model_1w4o_3.cif	1.10
model_1w4o_307.cif	7.24
model_1w4o_313.cif	0.81
model_1w4o_330.cif	0.91
model_1w4o_338.cif	7.27
model_1w4o_339.cif	0.76
model_1w4o_353.cif	7.48
model_1w4o_367.cif	0.69
model_1w4o_371.cif	5.61
model_1w4o_376.cif	0.67
model_1w4o_391.cif	0.95
model_1w4o_401.cif	3.12
model_1w4o_405.cif	5.97
model_1w4o_410.cif	3.58
model_1w4o_413.cif	3.39
model_1w4o_415.cif	2.98
model_1w4o_424.cif	4.32
model_1w4o_426.cif	7.28
model_1w4o_435.cif	2.09
model_1w4o_438.cif	3.75
model_1w4o_450.cif	2.34
model_1w4o_456.cif	2.90
model_1w4o_480.cif	3.40
model_1w4o_498.cif	5.73
model_1w4o_509.cif	5.29
model_1w4o_521.cif	1.39
model_1w4o_532.cif	7.27
model_1w4o_541.cif	4.38
model_1w4o_542.cif	2.02
model_1w4o_549.cif	4.92
model_1w4o_550.cif	6.58
model_1w4o_572.cif	7.51
model_1w4o_573.cif	7.31
model_1w4o_585.cif	6.03
model_1w4o_596.cif	5.88
model_1w4o_597.cif	1.64
model_1w4o_602.cif	2.41
model_1w4o_606.cif	1.93
model_1w4o_642.cif	4.05
model_1w4o_655.cif	7.80
model_1w4o_658.cif	7.04
model_1w4o_666.cif	6.17
model_1w4o_675.cif	2.36
model_1w4o_679.cif	5.51
model_1w4o_692.cif	4.75
model_1w4o_704.cif	1.79
model_1w4o_741.cif	6.04
model_1w4o_746.cif	5.78
model_1w4o_747.cif	5.95
model_1w4o_748.cif	4.71
model_1w4o_749.cif	2.05
model_1w4o_751.cif	2.54
model_1w4o_752.cif	4.59
model_1w4o_754.cif	3.92
model_1w4o_757.cif	1.67
model_1w4o_761.cif	1.02
model_1w4o_762.cif	6.50
model_1w4o_788.cif	4.11
model_1w4o_804.cif	2.48
model_1w4o_827.cif	6.03
model_1w4o_829.cif	9.39
model_1w4o_833.cif	1.63
model_1w4o_841.cif	8.23
model_1w4o_844.cif	6.38
model_1w4o_846.cif	8.58
model_1w4o_851.cif	4.23
model_1w4o_854.cif	3.03
model_1w4o_856.cif	5.22
model_1w4o_859.cif	5.37
model_1w4o_870.cif	1.07
model_1w4o_917.cif	1.47
model_1w4o_928.cif	0.60
model_1w4o_940.cif	4.01
model_1w4o_960.cif	3.85
model_1w4o_ligand.cif	0.00
model_1y6r_232.cif	0.46
model_1y6r_288.cif	0.72
model_1y6r_405.cif	5.33
model_1y6r_406.cif	2.64
model_1y6r_413.cif	5.54
model_1y6r_419.cif	5.13
model_1y6r_424.cif	3.00
model_1y6r_429.cif	1.88
model_1y6r_430.cif	3.02
model_1y6r_434.cif	2.08
model_1y6r_438.cif	5.19
model_1y6r_440.cif	1.91
model_1y6r_445.cif	3.10
model_1y6r_450.cif	3.45
model_1y6r_455.cif	2.17
model_1y6r_457.cif	5.40
model_1y6r_463.cif	5.49
model_1y6r_473.cif	1.83
model_1y6r_476.cif	2.32
model_1y6r_480.cif	2.34
model_1y6r_481.cif	1.46
model_1y6r_482.cif	5.13
model_1y6r_484.cif	4.96
model_1y6r_496.cif	2.70
model_1y6r_510.cif	2.13
model_1y6r_535.cif	1.45
model_1y6r_551.cif	6.16
model_1y6r_570.cif	1.34
model_1y6r_572.cif	2.25
model_1y6r_575.cif	4.90
model_1y6r_579.cif	1.32
model_1y6r_595.cif	2.51
model_1y6r_603.cif	4.89
model_1y6r_604.cif	4.86
model_1y6r_613.cif	4.85
model_1y6r_645.cif	1.39
model_1y6r_650.cif	5.24
model_1y6r_652.cif	5.21
model_1y6r_655.cif	1.57
model_1y6r_656.cif	4.56
model_1y6r_657.cif	4.86
model_1y6r_661.cif	5.29
model_1y6r_666.cif	6.03
model_1y6r_678.cif	4.91
model_1y6r_694.cif	4.99
model_1y6r_696.cif	6.33
model_1y6r_698.cif	4.64
model_1y6r_734.cif	1.13
model_1y6r_806.cif	0.60
model_1y6r_808.cif	0.57
model_1y6r_809.cif	0.67
model_1y6r_819.cif	0.37
model_1y6r_858.cif	0.78
model_1y6r_925.cif	0.88
model_1y6r_947.cif	0.54
model_1y6r_968.cif	0.60
model_1y6r_ligand.cif	0.00
model_1yc1_130.cif	1.07
model_1yc1_134.cif	1.08
model_1yc1_14.cif	3.75
model_1yc1_159.cif	0.31
model_1yc1_196.cif	0.84
model_1yc1_199.cif	0.59
model_1yc1_205.cif	0.51
model_1yc1_214.cif	1.24
model_1yc1_220.cif	1.05
model_1yc1_246.cif	0.96
model_1yc1_254.cif	2.56
model_1yc1_281.cif	1.07
model_1yc1_289.cif	0.84
model_1yc1_29.cif	1.00
model_1yc1_293.cif	0.79
model_1yc1_296.cif	2.03
model_1yc1_314.cif	3.13
model_1yc1_352.cif	0.95
model_1yc1_376.cif	4.25
model_1yc1_38.cif	0.59
model_1yc1_401.cif	6.14
model_1yc1_403.cif	3.47
model_1yc1_407.cif	2.67
model_1yc1_412.cif	5.12
model_1yc1_413.cif	4.13
model_1yc1_415.cif	3.40
model_1yc1_421.cif	4.52
model_1yc1_428.cif	3.68
model_1yc1_429.cif	3.08
model_1yc1_431.cif	2.40
model_1yc1_437.cif	4.69
model_1yc1_440.cif	5.66
model_1yc1_441.cif	4.78
model_1yc1_447.cif	2.91
model_1yc1_471.cif	2.94
model_1yc1_480.cif	2.57
model_1yc1_483.cif	2.90
model_1yc1_485.cif	5.82
model_1yc1_486.cif	5.22
model_1yc1_487.cif	1.28
model_1yc1_492.cif	3.81
model_1yc1_496.cif	5.67
model_1yc1_5.cif	1.17
model_1yc1_512.cif	7.14
model_1yc1_516.cif	7.63
model_1yc1_521.cif	6.69
model_1yc1_523.cif	4.68
model_1yc1_528.cif	7.19
model_1yc1_536.cif	6.24
model_1yc1_542.cif	7.04
model_1yc1_546.cif	7.69
model_1yc1_549.cif	6.13
model_1yc1_557.cif	8.29
model_1yc1_564.cif	4.00
model_1yc1_570.cif	4.81
model_1yc1_573.cif	4.51
model_1yc1_581.cif	5.51
model_1yc1_582.cif	7.41
model_1yc1_584.cif	7.53
model_1yc1_610.cif	4.89
model_1yc1_612.cif	5.06
model_1yc1_616.cif	5.50
model_1yc1_622.cif	5.89
model_1yc1_630.cif	1.99
model_1yc1_634.cif	6.13
model_1yc1_635.cif	6.58
model_1yc1_636.cif	7.77
model_1yc1_642.cif	6.25
model_1yc1_644.cif	3.66
model_1yc1_653.cif	4.87
model_1yc1_663.cif	6.10
model_1yc1_680.cif	5.16
model_1yc1_684.cif	1.61
model_1yc1_687.cif	6.41
model_1yc1_688.cif	6.80
model_1yc1_689.cif	3.57
model_1yc1_691.cif	2.20
model_1yc1_700.cif	7.97
model_1yc1_765.cif	1.55
model_1yc1_784.cif	2.98
model_1yc1_ligand.cif	0.00
model_1ydr_100.cif	2.43
model_1ydr_11.cif	8.94
model_1ydr_13.cif	2.54
model_1ydr_132.cif	1.97
model_1ydr_136.cif	3.32
model_1ydr_164.cif	0.83
model_1ydr_18.cif	1.89
model_1ydr_204.cif	2.96
model_1ydr_214.cif	1.58
model_1ydr_240.cif	3.23
model_1ydr_26.cif	0.93
model_1ydr_268.cif	1.49
model_1ydr_291.cif	3.48
model_1ydr_315.cif	2.89
model_1ydr_332.cif	3.03
model_1ydr_348.cif	3.04
model_1ydr_368.cif	6.54
model_1ydr_369.cif	0.95
model_1ydr_4.cif	0.96
model_1ydr_418.cif	2.19
model_1ydr_423.cif	1.30
model_1ydr_430.cif	5.61
model_1ydr_452.cif	1.39
model_1ydr_46.cif	0.88
model_1ydr_464.cif	3.63
model_1ydr_466.cif	2.06
model_1ydr_470.cif	5.74
model_1ydr_482.cif	6.27
model_1ydr_485.cif	4.67
model_1ydr_487.cif	4.74
model_1ydr_490.cif	5.24
model_1ydr_495.cif	6.92
model_1ydr_517.cif	6.58
model_1ydr_518.cif	9.16
model_1ydr_524.cif	7.91
model_1ydr_537.cif	3.40
model_1ydr_541.cif	4.17
model_1ydr_546.cif	7.80
model_1ydr_554.cif	7.03
model_1ydr_557.cif	7.65
model_1ydr_558.cif	8.51
model_1ydr_566.cif	5.96
model_1ydr_570.cif	7.37
model_1ydr_582.cif	8.43
model_1ydr_586.cif	3.27
model_1ydr_587.cif	9.91
model_1ydr_593.cif	9.02
model_1ydr_595.cif	4.93
model_1ydr_599.cif	8.09
model_1ydr_609.cif	9.74
model_1ydr_613.cif	8.51
model_1ydr_614.cif	9.25
model_1ydr_615.cif	4.61
model_1ydr_616.cif	5.04
model_1ydr_622.cif	9.22
model_1ydr_626.cif	6.33
model_1ydr_629.cif	8.57
model_1ydr_63.cif	0.92
model_1ydr_636.cif	9.36
model_1ydr_641.cif	6.81
model_1ydr_646.cif	6.46
model_1ydr_648.cif	9.24
model_1ydr_649.cif	7.97
model_1ydr_651.cif	8.41
model_1ydr_659.cif	9.35
model_1ydr_689.cif	7.32
model_1ydr_69.cif	2.91
model_1ydr_693.cif	1.93
model_1ydr_697.cif	8.23
model_1ydr_701.cif	0.98
model_1ydr_715.cif	7.09
model_1ydr_723.cif	4.66
model_1ydr_726.cif	3.85
model_1ydr_739.cif	4.01
model_1ydr_741.cif	1.80
model_1ydr_746.cif	9.57
model_1ydr_754.cif	2.00
model_1ydr_759.cif	4.46
model_1ydr_761.cif	8.16
model_1ydr_771.cif	4.86
model_1ydr_775.cif	4.72
model_1ydr_779.cif	5.28
model_1ydr_78.cif	3.33
model_1ydr_784.cif	5.78
model_1ydr_785.cif	7.06
model_1ydr_786.cif	6.27
model_1ydr_789.cif	5.56
model_1ydr_791.cif	6.38
model_1ydr_80.cif	0.79
model_1ydr_801.cif	1.00
model_1ydr_804.cif	2.34
model_1ydr_824.cif	2.48
model_1ydr_848.cif	5.84
model_1ydr_856.cif	7.54
model_1ydr_858.cif	8.70
model_1ydr_894.cif	5.26
model_1ydr_902.cif	0.91
model_1ydr_934.cif	6.29
model_1ydr_95.cif	1.54
model_1ydr_984.cif	2.19
model_1ydr_ligand.cif	0.00
model_1ydt_1000.cif	2.51
model_1ydt_121.cif	1.00
model_1ydt_204.cif	0.98
model_1ydt_207.cif	1.02
model_1ydt_214.cif	3.38
model_1ydt_215.cif	1.41
model_1ydt_241.cif	1.80
model_1ydt_246.cif	1.47
model_1ydt_251.cif	0.54
model_1ydt_253.cif	4.81
model_1ydt_254.cif	5.73
model_1ydt_260.cif	3.52
model_1ydt_263.cif	2.97
model_1ydt_267.cif	0.93
model_1ydt_271.cif	6.59
model_1ydt_275.cif	3.52
model_1ydt_277.cif	0.68
model_1ydt_278.cif	3.58
model_1ydt_279.cif	0.88
model_1ydt_281.cif	2.99
model_1ydt_283.cif	0.93
model_1ydt_300.cif	5.65
model_1ydt_309.cif	2.83
model_1ydt_324.cif	0.89
model_1ydt_34.cif	3.05
model_1ydt_386.cif	0.73
model_1ydt_40.cif	4.70
model_1ydt_401.cif	5.83
model_1ydt_404.cif	2.82
model_1ydt_408.cif	1.91
model_1ydt_412.cif	5.37
model_1ydt_417.cif	2.43
model_1ydt_425.cif	4.60
model_1ydt_432.cif	8.52
model_1ydt_446.cif	6.67
model_1ydt_46.cif	3.80
model_1ydt_464.cif	6.30
model_1ydt_47.cif	1.07
model_1ydt_470.cif	7.20
model_1ydt_474.cif	6.10
model_1ydt_483.cif	3.32
model_1ydt_487.cif	3.79
model_1ydt_494.cif	3.08
model_1ydt_495.cif	5.93
model_1ydt_500.cif	7.62
model_1ydt_532.cif	2.44
model_1ydt_538.cif	6.56
model_1ydt_539.cif	7.84
model_1ydt_549.cif	6.40
model_1ydt_556.cif	4.99
model_1ydt_558.cif	4.07
model_1ydt_564.cif	7.15
model_1ydt_576.cif	8.87
model_1ydt_578.cif	4.27
model_1ydt_609.cif	7.05
model_1ydt_625.cif	7.09
model_1ydt_632.cif	5.95
model_1ydt_643.cif	3.20
model_1ydt_644.cif	6.99
model_1ydt_655.cif	8.12
model_1ydt_659.cif	8.54
model_1ydt_677.cif	2.15
model_1ydt_678.cif	5.83
model_1ydt_684.cif	5.53
model_1ydt_694.cif	8.52
model_1ydt_697.cif	8.55
model_1ydt_705.cif	0.85
model_1ydt_709.cif	8.12
model_1ydt_711.cif	1.62
model_1ydt_715.cif	1.75
model_1ydt_730.cif	5.22
model_1ydt_75.cif	4.19
model_1ydt_750.cif	6.77
model_1ydt_766.cif	4.94
model_1ydt_775.cif	7.96
model_1ydt_785.cif	8.02
model_1ydt_787.cif	4.07
model_1ydt_817.cif	1.01
model_1ydt_818.cif	6.50
model_1ydt_832.cif	1.89
model_1ydt_837.cif	6.77
model_1ydt_840.cif	2.47
model_1ydt_882.cif	4.42
model_1ydt_892.cif	8.63
model_1ydt_916.cif	7.76
model_1ydt_918.cif	2.71
model_1ydt_926.cif	5.29
model_1ydt_936.cif	7.71
model_1ydt_953.cif	8.61
model_1ydt_994.cif	7.60
model_1ydt_ligand.cif	0.00
model_1z6e_11.cif	8.99
model_1z6e_117.cif	7.59
model_1z6e_125.cif	9.84
model_1z6e_130.cif	7.63
model_1z6e_136.cif	5.70
model_1z6e_145.cif	0.97
model_1z6e_152.cif	9.97
model_1z6e_159.cif	6.42
model_1z6e_160.cif	0.96
model_1z6e_162.cif	0.95
model_1z6e_184.cif	8.49
model_1z6e_19.cif	9.51
model_1z6e_192.cif	9.06
model_1z6e_200.cif	3.69
model_1z6e_21.cif	2.92
model_1z6e_31.cif	0.84
model_1z6e_310.cif	9.89
model_1z6e_350.cif	0.85
model_1z6e_352.cif	1.61
model_1z6e_354.cif	6.13
model_1z6e_371.cif	0.99
model_1z6e_372.cif	9.04
model_1z6e_384.cif	1.56
model_1z6e_390.cif	9.69
model_1z6e_401.cif	2.46
model_1z6e_403.cif	1.63
model_1z6e_411.cif	1.13
model_1z6e_413.cif	4.61
model_1z6e_423.cif	4.61
model_1z6e_424.cif	2.09
model_1z6e_425.cif	8.38
model_1z6e_427.cif	3.85
model_1z6e_429.cif	2.25
model_1z6e_432.cif	3.25
model_1z6e_441.cif	4.41
model_1z6e_445.cif	8.02
model_1z6e_449.cif	5.99
model_1z6e_455.cif	3.26
model_1z6e_46.cif	9.25
model_1z6e_468.cif	4.74
model_1z6e_470.cif	7.02
model_1z6e_472.cif	3.60
model_1z6e_475.cif	2.73
model_1z6e_480.cif	6.41
model_1z6e_481.cif	4.10
model_1z6e_482.cif	5.95
model_1z6e_486.cif	2.31
model_1z6e_488.cif	3.31
model_1z6e_497.cif	6.88
model_1z6e_522.cif	1.99
model_1z6e_524.cif	6.87
model_1z6e_525.cif	8.81
model_1z6e_527.cif	6.42
model_1z6e_536.cif	5.35
model_1z6e_538.cif	4.27
model_1z6e_55.cif	0.91
model_1z6e_557.cif	3.74
model_1z6e_558.cif	8.13
model_1z6e_564.cif	5.72
model_1z6e_57.cif	7.89
model_1z6e_570.cif	7.10
model_1z6e_572.cif	6.88
model_1z6e_614.cif	4.55
model_1z6e_636.cif	8.29
model_1z6e_64.cif	0.81
model_1z6e_643.cif	3.98
model_1z6e_65.cif	8.63
model_1z6e_663.cif	7.18
model_1z6e_665.cif	7.39
model_1z6e_668.cif	9.69
model_1z6e_680.cif	6.37
model_1z6e_688.cif	5.92
model_1z6e_691.cif	7.63
model_1z6e_694.cif	3.83
model_1z6e_702.cif	0.95
model_1z6e_712.cif	1.22
model_1z6e_722.cif	1.96
model_1z6e_735.cif	4.18
model_1z6e_74.cif	4.86
model_1z6e_748.cif	7.15
model_1z6e_749.cif	5.08
model_1z6e_75.cif	8.68
model_1z6e_754.cif	2.44
model_1z6e_755.cif	7.43
model_1z6e_756.cif	6.35
model_1z6e_757.cif	3.87
model_1z6e_768.cif	8.80
model_1z6e_772.cif	5.35
model_1z6e_773.cif	5.02
model_1z6e_774.cif	4.94
model_1z6e_776.cif	1.86
model_1z6e_779.cif	5.53
model_1z6e_799.cif	1.93
model_1z6e_83.cif	0.96
model_1z6e_843.cif	6.99
model_1z6e_879.cif	2.72
model_1z6e_88.cif	2.37
model_1z6e_97.cif	9.55
model_1z6e_974.cif	2.76
model_1z6e_978.cif	1.10
model_1z6e_ligand.cif	0.00
model_1z95_14.cif	0.69
model_1z95_169.cif	0.45
model_1z95_208.cif	0.62
model_1z95_219.cif	2.41
model_1z95_223.cif	0.63
model_1z95_249.cif	0.96
model_1z95_255.cif	4.93
model_1z95_266.cif	0.66
model_1z95_29.cif	2.08
model_1z95_303.cif	0.38
model_1z95_312.cif	1.95
model_1z95_313.cif	0.57
model_1z95_337.cif	0.51
model_1z95_407.cif	5.84
model_1z95_408.cif	1.92
model_1z95_412.cif	4.72
model_1z95_415.cif	6.44
model_1z95_418.cif	5.33
model_1z95_419.cif	1.82
model_1z95_427.cif	3.35
model_1z95_428.cif	3.15
model_1z95_436.cif	6.49
model_1z95_437.cif	4.04
model_1z95_444.cif	5.79
model_1z95_445.cif	6.16
model_1z95_449.cif	2.48
model_1z95_474.cif	1.50
model_1z95_483.cif	4.43
model_1z95_484.cif	4.92
model_1z95_486.cif	5.01
model_1z95_489.cif	1.89
model_1z95_490.cif	6.15
model_1z95_498.cif	1.90
model_1z95_499.cif	2.90
model_1z95_514.cif	2.56
model_1z95_544.cif	3.90
model_1z95_545.cif	5.33
model_1z95_547.cif	3.39
model_1z95_548.cif	2.79
model_1z95_550.cif	3.10
model_1z95_555.cif	1.64
model_1z95_560.cif	5.86
model_1z95_562.cif	5.96
model_1z95_565.cif	2.79
model_1z95_566.cif	3.60
model_1z95_581.cif	2.06
model_1z95_587.cif	4.00
model_1z95_590.cif	3.50
model_1z95_620.cif	4.63
model_1z95_626.cif	6.08
model_1z95_648.cif	3.18
model_1z95_658.cif	6.23
model_1z95_663.cif	2.08
model_1z95_666.cif	5.19
model_1z95_684.cif	2.92
model_1z95_686.cif	4.10
model_1z95_690.cif	5.93
model_1z95_694.cif	4.77
model_1z95_700.cif	5.95
model_1z95_742.cif	0.89
model_1z95_765.cif	3.87
model_1z95_774.cif	4.03
model_1z95_779.cif	4.33
model_1z95_827.cif	1.13
model_1z95_872.cif	1.20
model_1z95_964.cif	1.73
model_1z95_ligand.cif	0.00
model_1z9g_159.cif	7.60
model_1z9g_219.cif	2.15
model_1z9g_227.cif	5.79
model_1z9g_229.cif	1.89
model_1z9g_236.cif	4.34
model_1z9g_253.cif	7.26
model_1z9g_269.cif	8.33
model_1z9g_285.cif	6.38
model_1z9g_317.cif	8.37
model_1z9g_406.cif	5.03
model_1z9g_421.cif	6.31
model_1z9g_432.cif	3.40
model_1z9g_442.cif	2.84
model_1z9g_453.cif	2.96
model_1z9g_455.cif	2.95
model_1z9g_465.cif	3.14
model_1z9g_468.cif	3.34
model_1z9g_472.cif	2.10
model_1z9g_481.cif	4.17
model_1z9g_484.cif	4.21
model_1z9g_490.cif	2.80
model_1z9g_527.cif	6.17
model_1z9g_551.cif	4.62
model_1z9g_575.cif	6.09
model_1z9g_581.cif	3.92
model_1z9g_582.cif	4.67
model_1z9g_583.cif	5.16
model_1z9g_585.cif	2.83
model_1z9g_588.cif	8.28
model_1z9g_593.cif	5.01
model_1z9g_595.cif	6.56
model_1z9g_596.cif	6.71
model_1z9g_597.cif	5.76
model_1z9g_598.cif	4.72
model_1z9g_608.cif	6.52
model_1z9g_609.cif	4.04
model_1z9g_613.cif	7.57
model_1z9g_618.cif	8.52
model_1z9g_626.cif	7.24
model_1z9g_634.cif	7.20
model_1z9g_638.cif	8.81
model_1z9g_641.cif	8.10
model_1z9g_647.cif	7.13
model_1z9g_651.cif	5.94
model_1z9g_667.cif	9.09
model_1z9g_678.cif	8.30
model_1z9g_679.cif	3.79
model_1z9g_68.cif	7.03
model_1z9g_680.cif	3.40
model_1z9g_684.cif	8.05
model_1z9g_694.cif	8.10
model_1z9g_699.cif	7.19
model_1z9g_701.cif	1.85
model_1z9g_703.cif	1.49
model_1z9g_707.cif	1.78
model_1z9g_710.cif	1.51
model_1z9g_715.cif	1.41
model_1z9g_720.cif	1.77
model_1z9g_721.cif	1.48
model_1z9g_722.cif	0.57
model_1z9g_723.cif	0.82
model_1z9g_725.cif	1.68
model_1z9g_734.cif	4.55
model_1z9g_738.cif	0.52
model_1z9g_741.cif	1.75
model_1z9g_742.cif	0.76
model_1z9g_747.cif	0.96
model_1z9g_749.cif	3.98
model_1z9g_750.cif	6.93
model_1z9g_753.cif	6.46
model_1z9g_763.cif	5.06
model_1z9g_769.cif	4.72
model_1z9g_784.cif	4.11
model_1z9g_787.cif	8.31
model_1z9g_789.cif	0.75
model_1z9g_790.cif	0.64
model_1z9g_793.cif	0.83
model_1z9g_817.cif	0.82
model_1z9g_845.cif	3.12
model_1z9g_849.cif	0.89
model_1z9g_851.cif	7.10
model_1z9g_852.cif	3.78
model_1z9g_853.cif	5.10
model_1z9g_870.cif	7.24
model_1z9g_873.cif	5.26
model_1z9g_876.cif	2.72
model_1z9g_879.cif	5.55
model_1z9g_880.cif	3.64
model_1z9g_887.cif	2.74
model_1z9g_968.cif	6.44
model_1z9g_ligand.cif	0.00
model_2al5_121.cif	0.83
model_2al5_243.cif	0.46
model_2al5_26.cif	1.98
model_2al5_323.cif	0.23
model_2al5_339.cif	0.41
model_2al5_401.cif	0.88
model_2al5_406.cif	1.96
model_2al5_412.cif	0.86
model_2al5_421.cif	1.09
model_2al5_426.cif	2.02
model_2al5_432.cif	0.80
model_2al5_434.cif	4.54
model_2al5_436.cif	0.76
model_2al5_444.cif	1.98
model_2al5_450.cif	2.19
model_2al5_463.cif	0.99
model_2al5_469.cif	1.44
model_2al5_473.cif	1.72
model_2al5_478.cif	4.69
model_2al5_495.cif	4.77
model_2al5_496.cif	1.46
model_2al5_498.cif	0.88
model_2al5_500.cif	2.11
model_2al5_516.cif	1.46
model_2al5_550.cif	4.66
model_2al5_573.cif	4.73
model_2al5_587.cif	1.36
model_2al5_599.cif	2.29
model_2al5_624.cif	1.52
model_2al5_639.cif	2.31
model_2al5_643.cif	4.66
model_2al5_667.cif	4.37
model_2al5_682.cif	3.72
model_2al5_687.cif	2.30
model_2al5_699.cif	2.07
model_2al5_700.cif	4.41
model_2al5_740.cif	5.06
model_2al5_747.cif	4.77
model_2al5_754.cif	2.22
model_2al5_756.cif	3.98
model_2al5_759.cif	3.50
model_2al5_761.cif	2.64
model_2al5_762.cif	5.14
model_2al5_763.cif	5.08
model_2al5_769.cif	2.93
model_2al5_775.cif	5.17
model_2al5_777.cif	5.09
model_2al5_778.cif	5.12
model_2al5_779.cif	5.06
model_2al5_781.cif	4.36
model_2al5_787.cif	5.03
model_2al5_788.cif	5.04
model_2al5_ligand.cif	0.00
model_2br1_118.cif	3.26
model_2br1_167.cif	3.16
model_2br1_195.cif	3.99
model_2br1_208.cif	2.03
model_2br1_228.cif	7.07
model_2br1_248.cif	6.68
model_2br1_257.cif	1.80
model_2br1_315.cif	0.70
model_2br1_316.cif	0.92
model_2br1_349.cif	1.00
model_2br1_354.cif	0.83
model_2br1_356.cif	0.99
model_2br1_375.cif	0.91
model_2br1_383.cif	0.57
model_2br1_392.cif	0.83
model_2br1_413.cif	5.83
model_2br1_416.cif	6.31
model_2br1_419.cif	6.03
model_2br1_430.cif	5.36
model_2br1_433.cif	2.88
model_2br1_455.cif	6.24
model_2br1_47.cif	0.84
model_2br1_475.cif	6.12
model_2br1_479.cif	6.54
model_2br1_502.cif	2.37
model_2br1_511.cif	3.17
model_2br1_523.cif	4.72
model_2br1_524.cif	3.56
model_2br1_540.cif	3.47
model_2br1_543.cif	1.98
